Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
103,2003,Trent Smith,TE,23,0,Oklahoma,College Stats,5-Jun,243,4.79,35.5,16,118,7.23,4.37,Baltimore Ravens / 7th / 223rd pick / 2003
104,2003,L.J. Smith,TE,22,23,Rutgers,College Stats,3-Jun,258,4.62,37,26,122,6.74,4.25,Philadelphia Eagles / 2nd / 61st pick / 2003
105,2003,Visanthe Shiancoe,TE,22,25,South Florida,,4-Jun,251,4.65,39.5,28,120,7.09,4.31,New York Giants / 3rd / 91st pick / 2003
106,2003,Mike Seidman,TE,22,1,UCLA,College Stats,4-Jun,261,4.8,,20,,,,Carolina Panthers / 3rd / 76th pick / 2003
107,2003,Gabe Reid,TE,25,0,BYU,College Stats,3-Jun,255,4.82,37,23,119,7.49,4.32,
108,2003,Spencer Nead,TE,25,0,BYU,College Stats,4-Jun,259,4.86,28.5,19,102,7.37,4.34,New England Patriots / 7th / 234th pick / 2003
109,2003,Donald Lee,TE,22,19,Mississippi State,College Stats,3-Jun,249,4.82,39,26,120,7.42,4.42,Miami Dolphins / 5th / 156th pick / 2003
110,2003,Bennie Joppru,TE,23,0,Michigan,College Stats,4-Jun,272,4.78,30.5,19,109,,,Houston Texans / 2nd / 41st pick / 2003
111,2003,Robert Johnson,TE,22,0,Auburn,College Stats,6-Jun,278,4.96,33.5,18,115,7.15,4.47,
112,2003,Zach Hilton,TE,22,3,North Carolina,College Stats,8-Jun,262,4.83,35,24,112,7.26,4.33,
113,2003,Dan Curley,TE,24,0,East. Washington,,4-Jun,254,4.63,35.5,17,118,7.47,4.53,St. Louis Rams / 5th / 148th pick / 2003
114,2003,Dallas Clark,TE,23,61,Iowa,College Stats,3-Jun,257,4.65,37.5,,123,,,Indianapolis Colts / 1st / 24th pick / 2003
115,2003,Sean Berton,TE,23,1,North Carolina State,College Stats,4-Jun,279,5.02,31,,107,7.18,4.35,
116,2002,Jerramy Stevens,TE,22,20,Washington,College Stats,7-Jun,265,4.77,,,,,,Seattle Seahawks / 1st / 28th pick / 2002
117,2002,Jeremy Shockey,TE,21,59,Miami (FL),College Stats,5-Jun,255,4.64,,,,,,New York Giants / 1st / 14th pick / 2002
118,2002,Matt Schobel,TE,23,12,TCU,College Stats,5-Jun,263,,34.5,,,,,Cincinnati Bengals / 3rd / 67th pick / 2002
119,2002,Robert Royal,TE,22,9,LSU,College Stats,5-Jun,253,4.97,31,14,114,7.37,4.27,Washington Redskins / 5th / 160th pick / 2002
120,2002,Justin Peelle,TE,22,9,Oregon,College Stats,4-Jun,255,4.75,29,21,110,7.34,4.29,San Diego Chargers / 4th / 103rd pick / 2002
121,2002,John Owens,TE,22,0,Notre Dame,College Stats,3-Jun,265,4.77,38.5,21,117,,,Detroit Lions / 5th / 138th pick / 2002
122,2002,Josh Norman,TE,21,3,Oklahoma,College Stats,2-Jun,236,4.65,32,18,115,,,
123,2002,Randy McMichael,TE,22,39,Georgia,College Stats,3-Jun,247,4.88,29.5,18,112,7.58,4.28,Miami Dolphins / 4th / 114th pick / 2002
124,2002,Chris Luzar,TE,23,0,Virginia,College Stats,7-Jun,270,4.76,32.5,22,115,6.84,4.17,Jacksonville Jaguars / 4th / 118th pick / 2002
125,2002,Terry Jones,TE,22,5,Alabama,College Stats,3-Jun,265,4.79,33.5,20,111,7.43,4.43,Baltimore Ravens / 5th / 155th pick / 2002
126,2002,Doug Jolley,TE,23,12,BYU,College Stats,4-Jun,251,4.6,38,18,117,6.9,4.18,Oakland Raiders / 2nd / 55th pick / 2002
127,2002,Keith Heinrich,TE,22,1,SMU,,5-Jun,255,4.77,35,21,120,6.87,4.1,Carolina Panthers / 6th / 174th pick / 2002
128,2002,Ryan Hannam,TE,22,2,New Mexico,,2-Jun,251,4.69,30.5,18,113,7.07,4.21,Seattle Seahawks / 5th / 169th pick / 2002
129,2002,Daniel Graham,TE,23,22,Colorado,College Stats,3-Jun,248,4.64,36,,118,,,New England Patriots / 1st / 21st pick / 2002
130,2002,Dwayne Blakley,TE,22,1,Missouri,College Stats,5-Jun,256,4.96,32.5,21,107,7.33,4.29,
131,2002,Mike Banks,TE,22,0,Iowa State,College Stats,4-Jun,260,4.84,31.5,,104,,,Arizona Cardinals / 7th / 223rd pick / 2002
132,2002,Chris Baker,TE,22,15,Michigan State,College Stats,3-Jun,258,4.81,35,18,112,6.95,,New York Jets / 3rd / 88th pick / 2002
133,2002,Mark Anelli,TE,22,0,Wisconsin,College Stats,4-Jun,262,4.8,,18,,,,San Francisco 49ers / 6th / 201st pick / 2002
134,2001,Boo Williams,TE,21,11,Arkansas,College Stats,4-Jun,237,4.72,35.5,,119,7.1,4.33,
135,2001,Tony Stewart,TE,21,4,Penn State,College Stats,5-Jun,256,4.96,35.5,,109,7.3,4.4,Philadelphia Eagles / 5th / 147th pick / 2001
136,2001,Mike Roberg,TE,23,0,Idaho,College Stats,4-Jun,256,4.75,34.5,16,117,7.28,4.4,Carolina Panthers / 7th / 227th pick / 2001
137,2001,Marcellus Rivers,TE,22,3,Oklahoma State,College Stats,4-Jun,247,4.84,32.5,7,113,7.04,4.25,
138,2001,Ryan Prince,TE,23,0,Weber State,,4-Jun,257,4.99,31,20,102,7.65,4.45,
139,2001,Dan O'Leary,TE,23,1,Notre Dame,College Stats,4-Jun,252,5.02,32,16,113,7.4,4.31,Buffalo Bills / 6th / 195th pick / 2001
140,2001,Brian Natkin,TE,23,0,Texas-El Paso,College Stats,2-Jun,251,4.95,27,20,98,7.78,4.59,
141,2001,Shad Meier,TE,22,3,Kansas State,College Stats,5-Jun,256,4.85,34,20,113,7.14,4.15,Tennessee Titans / 3rd / 90th pick / 2001
142,2001,Brandon Manumaleuna,TE,21,9,Arizona,College Stats,2-Jun,275,4.99,30,,106,7.49,4.26,St. Louis Rams / 4th / 129th pick / 2001
143,2001,Jabari Holloway,TE,22,1,Notre Dame,College Stats,2-Jun,253,4.91,38.5,20,113,7.14,4.4,New England Patriots / 4th / 119th pick / 2001
144,2001,Todd Heap,TE,20,53,Arizona State,College Stats,5-Jun,252,4.68,,,,,,Baltimore Ravens / 1st / 31st pick / 2001
145,2001,Antoine Harris,TE,18,3,Louisville,College Stats,3-Jun,260,4.93,,11,,,,
146,2001,Alge Crumpler,TE,23,48,North Carolina,College Stats,2-Jun,266,4.76,34,22,112,7.38,4.43,Atlanta Falcons / 2nd / 35th pick / 2001
147,2001,Sean Brewer,TE,23,0,San Jose State,College Stats,4-Jun,255,4.73,36,14,117,7.37,4.18,Cincinnati Bengals / 3rd / 66th pick / 2001
148,2001,Billy Baber,TE,22,0,Virginia,College Stats,4-Jun,255,4.76,33,22,106,7.12,4.19,Kansas City Chiefs / 5th / 141st pick / 2001
149,2000,Austin Wheatley,TE,22,0,Iowa,College Stats,4-Jun,254,4.66,32.5,,121,6.97,4.18,New Orleans Saints / 5th / 158th pick / 2000
150,2000,James Whalen,TE,22,1,Kentucky,College Stats,2-Jun,228,4.78,31,,110,7.42,4.22,Tampa Bay Buccaneers / 5th / 157th pick / 2000
151,2000,Jay Tant,TE,22,0,Northwestern,College Stats,3-Jun,255,4.75,,31,,,,Arizona Cardinals / 5th / 164th pick / 2000
152,2000,Dave Stachelski,TE,23,0,Boise State,College Stats,3-Jun,250,4.78,38,24,115,6.84,4.14,New England Patriots / 5th / 141st pick / 2000
153,2000,Erron Kinney,TE,22,17,Florida,College Stats,6-Jun,272,4.9,,,,,,Tennessee Titans / 3rd / 68th pick / 2000
154,2000,John Jones,TE,24,0,Pittsburgh,College Stats,4-Jun,248,4.63,38.5,13,125,7.33,4.43,
155,2000,Bubba Franks,TE,22,22,Miami (FL),College Stats,6-Jun,265,4.85,,,,,,Green Bay Packers / 1st / 14th pick / 2000
156,2000,Zeron Flemister,TE,23,4,Iowa,College Stats,4-Jun,249,4.72,37,14,116,6.92,4.16,
157,2000,Casey Crawford,TE,22,0,Virginia,College Stats,6-Jun,244,4.83,,18,,,,
158,2000,Anthony Becht,TE,22,14,West Virginia,College Stats,6-Jun,270,4.78,33.5,,123,6.94,4.08,New York Jets / 1st / 27th pick / 2000
