Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
45,2014,Dustin Vaughan,QB,23,,West Texas A&M,,5-Jun,235,4.95,29,,108,7.25,4.43,
46,2014,Logan Thomas,QB,22,3,Virginia Tech,College Stats,6-Jun,248,4.61,35.5,,118,7.05,4.18,Arizona Cardinals / 4th / 120th pick / 2014
47,2014,Connor Shaw,QB,22,0,South Carolina,College Stats,Jun-00,206,4.66,34,,116,7.07,4.33,
48,2014,Tom Savage,QB,23,4,Pittsburgh,College Stats,4-Jun,228,4.97,27,,105,7.33,4.36,Houston Texans / 4th / 135th pick / 2014
49,2014,Aaron Murray,QB,23,,Georgia,College Stats,Jun-00,207,4.84,,,,,,Kansas City Chiefs / 5th / 163rd pick / 2014
50,2014,Stephen Morris,QB,21,,Miami (FL),College Stats,2-Jun,213,4.63,30,,111,7.36,4.49,
51,2014,Zach Mettenberger,QB,22,1,LSU,College Stats,5-Jun,224,,,,,,,Tennessee Titans / 6th / 178th pick / 2014
52,2014,A.J. McCarron,QB,23,4,Alabama,College Stats,3-Jun,220,4.94,28,,99,7.18,4.34,Cincinnati Bengals / 5th / 164th pick / 2014
53,2014,Johnny Manziel,QB,21,5,Texas A&M,College Stats,Jun-00,207,4.68,31.5,,113,6.75,4.03,Cleveland Browns / 1st / 22nd pick / 2014
54,2014,Jimmy Garoppolo,QB,22,25,East. Illinois,,2-Jun,226,4.97,30.5,,110,7.04,4.26,New England Patriots / 2nd / 62nd pick / 2014
55,2014,David Fales,QB,23,1,San Jose State,College Stats,2-Jun,212,4.99,28,,103,7.55,4.5,Chicago Bears / 6th / 183rd pick / 2014
56,2014,Derek Carr,QB,22,61,Fresno State,College Stats,2-Jun,214,4.69,34.5,,110,,4.2,Oakland Raiders / 2nd / 36th pick / 2014
57,2014,Teddy Bridgewater,QB,21,28,Louisville,College Stats,2-Jun,214,,30,,113,7.17,4.2,Minnesota Vikings / 1st / 32nd pick / 2014
58,2014,Blake Bortles,QB,21,48,Central Florida,College Stats,5-Jun,232,4.93,32.5,,115,7.08,4.21,Jacksonville Jaguars / 1st / 3rd pick / 2014
59,2013,Brad Sorensen,QB,24,,Southern Utah,,4-Jun,229,4.97,29,,112,7.17,4.55,San Diego Chargers / 7th / 221st pick / 2013
60,2013,Geno Smith,QB,22,16,West Virginia,College Stats,2-Jun,218,4.58,33.5,,124,,,New York Jets / 2nd / 39th pick / 2013
61,2013,Sean Renfree,QB,22,0,Duke,College Stats,3-Jun,219,4.76,,,,,,Atlanta Falcons / 7th / 249th pick / 2013
62,2013,Ryan Nassib,QB,22,0,Syracuse,College Stats,2-Jun,227,5.06,28.5,,105,7.34,4.53,New York Giants / 4th / 110th pick / 2013
63,2013,E.J. Manuel,QB,22,11,Florida State,College Stats,5-Jun,237,4.65,34,,118,7.08,4.21,Buffalo Bills / 1st / 16th pick / 2013
