Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Aaron Rodgers*+,GNB,QB,28,15,15,343,502,4643,45,6,60,257,4.28,3,0,0,0,,0,5,,3,,,399,397.4,409.4,403.4,171,1,1
2,Drew Brees*,NOR,QB,32,16,16,468,657,5476,46,14,21,86,4.1,1,0,0,0,,0,1,1,1,,3,396,393.6,411.6,407.6,167,2,2
3,Cam Newton*,CAR,QB,22,16,16,310,517,4051,21,17,126,706,5.6,14,1,1,27,27,0,5,2,14,,2,375,370.3,395.3,386.8,147,3,5
4,Tom Brady*,NWE,QB,34,16,16,401,611,5235,39,12,43,109,2.53,3,0,0,0,,0,6,2,3,,,370,366.3,386.3,378.3,142,4,7
5,Matthew Stafford,DET,QB,23,16,16,421,663,5038,41,16,22,78,3.55,0,0,0,0,,0,5,1,0,,2,347,343.3,363.3,359.3,119,5,9
6,Ray Rice*,BAL,RB,24,16,16,1,1,1,1,0,291,1364,4.69,12,104,76,704,9.26,3,2,2,15,,,301,372.8,380.8,334.8,152,1,3
7,Eli Manning*,NYG,QB,30,16,16,359,589,4933,29,16,35,15,0.43,1,0,0,0,,0,8,4,1,,,289,280.8,303.8,296.8,60,6,22
8,LeSean McCoy*+,PHI,RB,23,15,15,0,0,0,0,0,273,1309,4.79,17,69,48,315,6.56,3,1,1,20,,,282,328.4,335.4,304.4,134,2,8
9,Tony Romo,DAL,QB,31,16,16,346,522,4184,31,10,22,46,2.09,1,0,0,0,,0,7,3,1,,,282,276,292,286,53,7,25
10,Matt Ryan,ATL,QB,26,16,16,347,566,4177,29,12,37,84,2.27,2,0,0,0,,0,5,3,2,,,281,273.5,291.5,285.5,53,8,26
11,Calvin Johnson*+,DET,WR,26,16,16,0,0,0,0,0,1,11,11,0,158,96,1681,17.51,16,1,1,16,,,267,359.2,363.2,311.2,151,1,4
12,Philip Rivers*,SDG,QB,30,16,16,366,582,4624,27,20,26,36,1.38,1,0,0,0,,0,9,5,1,,1,265,254.6,282.6,274.6,36,9,36
13,Maurice Jones-Drew*+,JAX,RB,26,16,16,0,0,0,0,0,343,1606,4.68,8,64,43,374,8.7,3,6,1,11,,,264,305,312,283.5,115,3,10
14,Arian Foster*,HOU,RB,25,13,13,0,0,0,0,0,278,1224,4.4,10,72,53,617,11.64,2,6,2,12,,,256,305.1,313.1,278.6,108,4,11
15,Mark Sanchez,NYJ,QB,25,16,16,308,543,3474,26,18,37,103,2.78,6,0,0,0,,0,10,8,6,,,255,237.3,269.3,255.3,26,10,49
16,Rob Gronkowski*+,NWE,TE,22,16,16,0,0,0,0,0,1,2,2,1,124,90,1327,14.74,17,0,,18,,,241,330.9,333.9,285.9,143,1,6
17,Michael Vick,PHI,QB,31,13,13,253,423,3303,18,14,76,589,7.75,1,0,0,0,,0,10,4,1,,,241,233,257,247,12,11,64
18,Ryan Fitzpatrick,BUF,QB,29,16,16,353,569,3832,24,23,56,215,3.84,0,0,0,0,,0,7,2,0,1,,229,222.8,253.8,245.8,,12,78
19,Ben Roethlisberger*,PIT,QB,29,15,15,324,513,4077,21,14,31,70,2.26,0,0,0,0,,0,9,5,0,,,226,216.1,238.1,230.1,,13,
20,Josh Freeman,TAM,QB,23,15,15,346,551,3592,16,22,55,238,4.33,4,1,0,-4,,0,9,5,4,,2,225,205.1,238.1,227.1,,14,
21,Marshawn Lynch*,SEA,RB,25,15,15,0,2,0,0,0,285,1204,4.22,12,41,28,212,7.57,1,3,2,13,,,220,243.6,251.6,229.6,71,5,18
22,Michael Turner,ATL,RB,29,16,15,0,0,0,0,0,301,1340,4.45,11,26,17,168,9.88,0,3,2,11,,,217,229.8,237.8,221.3,68,6,19
23,Jordy Nelson,GNB,WR,26,16,9,0,0,0,0,0,0,0,,0,96,68,1263,18.57,15,0,,15,,,216,284.3,287.3,250.3,100,2,12
24,Alex Smith,SFO,QB,27,16,16,273,445,3144,17,5,52,179,3.44,2,0,0,0,,0,7,2,2,,1,216,211.7,224.7,216.7,,15,
25,Wes Welker*+,NWE,WR,30,16,15,0,0,0,0,0,4,30,7.5,0,173,122,1569,12.86,9,1,,9,,,214,335.9,338.9,274.9,98,3,14
26,Joe Flacco,BAL,QB,26,16,16,312,542,3610,20,12,39,88,2.26,1,1,1,-8,-8,0,11,6,1,,,214,203.4,224.4,214.9,,16,
27,Andy Dalton*,CIN,QB,24,16,16,300,516,3398,20,13,37,152,4.11,1,1,0,0,,0,5,2,1,,,213,207.1,228.1,220.1,,18,
28,Tim Tebow,DEN,QB,24,14,11,126,271,1729,12,6,122,660,5.41,6,0,0,0,,0,14,6,6,2,,213,199.2,217.2,205.2,,17,
29,Victor Cruz,NYG,WR,25,16,7,0,0,0,0,0,1,3,3,0,131,82,1536,18.73,9,1,1,9,,,208,287.9,291.9,246.9,92,4,15
30,Jimmy Graham*,NOR,TE,25,16,11,0,0,0,0,0,0,0,,0,149,99,1310,13.23,11,1,1,11,,,197,294,298,244.5,99,2,13
31,Matt Hasselbeck,TEN,QB,36,16,16,319,518,3571,18,14,20,52,2.6,0,0,0,0,,0,4,1,0,,,192,190,208,204,,19,
32,Ryan Mathews*,SDG,RB,24,14,14,0,0,0,0,0,222,1091,4.91,6,59,50,455,9.1,0,5,2,6,,,191,236.6,244.6,211.6,42,7,30
33,Larry Fitzgerald*,ARI,WR,28,16,16,0,0,0,0,0,0,0,,0,154,80,1411,17.64,8,0,,8,,,189,269.1,272.1,229.1,73,5,16
34,Steve Smith*,CAR,WR,32,16,16,0,0,0,0,0,6,56,9.33,0,129,79,1394,17.65,7,3,2,7,1,,189,264,269,224.5,73,6,17
35,Adrian Peterson,MIN,RB,26,12,12,0,0,0,0,0,208,970,4.66,12,24,18,139,7.72,1,1,,13,,,189,206.9,212.9,197.9,40,8,31
36,Michael Bush,OAK,RB,27,16,9,0,0,0,0,0,256,977,3.82,7,47,37,418,11.3,1,1,1,8,,,188,222.5,229.5,204,39,9,33
37,Darren Sproles,NOR,RB,28,16,4,0,0,0,0,0,87,603,6.93,2,111,86,710,8.26,7,1,,10,,,187,277.3,283.3,234.3,39,10,34
38,Steven Jackson,STL,RB,28,15,15,0,0,0,0,0,260,1145,4.4,5,58,42,333,7.93,1,2,1,6,,,184,223.8,230.8,202.8,35,11,38
39,Frank Gore*,SFO,RB,28,16,15,0,0,0,0,0,282,1211,4.29,8,31,17,114,6.71,0,2,2,8,,,183,193.5,201.5,185,34,12,40
40,Reggie Bush,MIA,RB,26,15,15,0,0,0,0,0,216,1086,5.03,6,52,43,296,6.88,1,4,2,7,,,180,219.2,227.2,197.7,32,13,44
41,Percy Harvin,MIN,WR,23,16,14,0,0,0,0,0,52,345,6.63,2,121,87,967,11.11,6,2,2,9,,,179,268.2,276.2,224.7,63,7,20
42,Roddy White*,ATL,WR,30,16,16,0,0,0,0,0,0,0,,0,180,100,1296,12.96,8,0,,8,,,178,277.6,280.6,227.6,62,8,21
43,Fred Jackson,BUF,RB,30,10,10,0,0,0,0,0,170,934,5.49,6,50,39,442,11.33,0,2,2,6,,,174,208.6,216.6,189.1,25,14,51
44,Mike Wallace*,PIT,WR,25,16,14,0,0,0,0,0,5,57,11.4,0,114,72,1193,16.57,8,1,1,8,,,173,243,247,207,57,9,23
45,Matt Forte*,CHI,RB,26,12,12,0,1,0,0,0,203,997,4.91,3,76,52,490,9.42,1,2,2,4,,,173,220.7,228.7,194.7,24,15,52
46,Tarvaris Jackson,SEA,QB,28,15,14,271,450,3091,14,13,40,108,2.7,1,0,0,0,,0,9,4,1,,,172,162.4,185.4,175.4,,20,
47,Chris Johnson,TEN,RB,26,16,16,0,0,0,0,0,262,1047,4,4,79,57,418,7.33,0,3,1,4,,,171,225.5,232.5,197,22,16,54
48,Vincent Jackson*,SDG,WR,28,16,16,0,0,0,0,0,3,51,17,0,115,60,1106,18.43,9,0,,9,,,170,229.7,232.7,199.7,54,10,24
49,Beanie Wells,ARI,RB,23,14,14,0,0,0,0,0,245,1047,4.27,10,16,10,52,5.2,0,4,2,10,,,170,175.9,180.9,170.9,21,17,55
50,Colt McCoy,CLE,QB,25,13,13,265,463,2733,14,11,61,212,3.48,0,1,1,-5,-5,0,11,2,0,,,166,161,180,171.5,,22,
51,Matt Moore,MIA,QB,27,13,12,210,347,2497,16,9,32,65,2.03,2,0,0,0,,0,14,1,2,,,166,162.4,175.4,171.4,,21,
52,Shonn Greene,NYJ,RB,26,16,15,0,0,0,0,0,253,1054,4.17,6,41,30,211,7.03,0,1,,6,,,163,192.5,198.5,177.5,14,18,58
53,Marques Colston,NOR,WR,28,14,7,0,0,0,0,0,0,0,,0,107,80,1143,14.29,8,1,1,8,,,162,240.3,244.3,200.3,46,11,27
54,Rashard Mendenhall,PIT,RB,24,15,15,0,0,0,0,0,228,928,4.07,9,28,18,154,8.56,0,1,1,9,,,162,178.2,185.2,169.2,14,19,61
55,Hakeem Nicks,NYG,WR,23,15,15,0,0,0,0,0,0,0,,0,133,76,1192,15.68,7,0,,7,,,161,237.2,240.2,199.2,45,12,28
56,Brandon Marshall*,MIA,WR,27,16,16,0,0,0,0,0,1,13,13,0,141,81,1214,14.99,6,1,1,6,,,161,237.7,241.7,197.2,45,13,29
57,Ahmad Bradshaw,NYG,RB,25,12,9,0,0,0,0,0,171,659,3.85,9,44,34,267,7.85,2,1,1,11,1,,161,192.6,199.6,175.6,12,20,65
58,Matt Schaub,HOU,QB,30,10,10,178,292,2479,15,6,15,9,0.6,2,0,0,0,,0,3,1,2,,,160,158.1,168.1,164.1,,23,
59,Rex Grossman,WAS,QB,31,13,13,265,458,3151,16,20,20,11,0.55,1,0,0,0,,0,8,4,1,,,159,149.1,176.1,169.1,,24,
60,Willis McGahee*,DEN,RB,30,15,14,0,0,0,0,0,249,1199,4.82,4,20,12,51,4.25,1,4,3,5,1,,157,163,169,157,8,21,69
61,A.J. Green*,CIN,WR,23,15,15,0,0,0,0,0,5,53,10.6,0,115,65,1057,16.26,7,1,,7,,,153,218,221,185.5,37,14,35
62,Laurent Robinson,DAL,WR,26,14,4,0,0,0,0,0,0,0,,0,80,54,858,15.89,11,0,,11,,,152,205.8,208.8,178.8,36,15,37
63,Mike Tolbert,SDG,RB,26,15,1,0,0,0,0,0,121,490,4.05,8,79,54,433,8.02,2,2,1,10,,,152,204.3,211.3,177.3,4,22,73
64,Nate Washington,TEN,WR,28,16,15,0,0,0,0,0,2,5,2.5,1,121,74,1023,13.82,7,0,,8,,,151,224.8,227.8,187.8,35,16,39
65,Cedric Benson,CIN,RB,29,15,15,0,0,0,0,0,273,1067,3.91,6,22,15,82,5.47,0,5,2,6,,,151,161.9,166.9,154.4,2,23,74
66,Julio Jones,ATL,WR,22,13,13,0,0,0,0,0,6,56,9.33,0,95,54,959,17.76,8,1,1,8,,,150,201.5,205.5,174.5,33,17,41
67,Greg Jennings*,GNB,WR,28,13,13,0,0,0,0,0,0,0,,0,101,67,949,14.16,9,0,,9,,,149,215.9,218.9,182.4,33,18,42
68,BenJarvus Green-Ellis,NWE,RB,26,16,6,0,0,0,0,0,181,667,3.69,11,13,9,159,17.67,0,0,,11,,,149,157.6,163.6,153.1,,24,
69,Dez Bryant,DAL,WR,23,15,13,0,0,0,0,0,1,5,5,0,103,63,928,14.73,9,3,2,9,,,147,206.3,211.3,174.8,31,19,45
70,Dwayne Bowe,KAN,WR,27,16,14,0,0,0,0,0,1,12,12,0,142,81,1159,14.31,5,1,,5,,,147,228.1,231.1,187.6,31,20,46
71,Jonathan Stewart,CAR,RB,24,16,3,0,0,0,0,0,142,761,5.36,4,61,47,413,8.79,1,1,,5,,,147,194.4,200.4,170.9,,25,
72,Steve Johnson,BUF,WR,25,16,16,0,0,0,0,0,0,0,,0,134,76,1004,13.21,7,0,,7,,,142,218.4,221.4,180.4,26,21,50
73,Jay Cutler,CHI,QB,28,10,10,182,314,2319,13,7,18,55,3.06,1,0,0,0,,0,7,3,1,,,142,136.3,149.3,143.3,,25,
74,DeAngelo Williams,CAR,RB,28,16,14,0,0,0,0,0,155,836,5.39,7,25,16,135,8.44,0,0,,7,,,139,155.1,161.1,147.1,,26,
75,Aaron Hernandez,NWE,TE,22,14,12,0,0,0,0,0,5,45,9,0,113,79,910,11.52,7,1,1,7,,,138,214.5,218.5,175,40,3,32
76,Carson Palmer,OAK,QB,32,10,9,199,328,2753,13,16,16,20,1.25,1,0,0,0,,0,2,1,1,,,138,136.1,156.1,152.1,,26,
77,Pierre Thomas,NOR,RB,27,16,7,0,0,0,0,0,110,562,5.11,5,59,50,425,8.5,1,2,1,6,,,137,182.7,189.7,157.7,,27,
78,Pierre Garcon,IND,WR,25,16,16,0,0,0,0,0,4,28,7,0,134,70,947,13.53,6,2,2,6,,,134,199.5,204.5,164.5,17,22,56
79,Tony Gonzalez*,ATL,TE,35,16,16,0,0,0,0,0,0,0,,0,116,80,875,10.94,7,0,,7,,,130,209.5,212.5,169.5,32,4,43
80,Torrey Smith,BAL,WR,22,16,14,0,0,0,0,0,4,39,9.75,0,95,50,841,16.82,7,1,,7,,,130,180,183,155,14,23,59
81,Brandon Lloyd,2TM,WR,30,15,14,0,1,0,0,0,0,0,,0,148,70,966,13.8,5,1,,5,,,129,196.6,199.6,161.6,13,24,63
82,Ben Tate,HOU,RB,23,15,2,0,0,0,0,0,175,942,5.38,4,19,13,98,7.54,0,4,3,4,,,128,135,141,128.5,,28,
83,Jermichael Finley,GNB,TE,24,16,13,0,0,0,0,0,0,0,,0,92,55,767,13.95,8,0,,8,,,127,179.7,182.7,152.2,29,5,47
84,Antonio Brown*,PIT,WR,23,16,3,0,0,0,0,0,7,41,5.86,0,124,69,1108,16.06,2,0,,3,,,127,201.9,204.9,167.4,11,25,66
85,Jabar Gaffney,WAS,WR,31,16,15,0,0,0,0,0,0,0,,0,114,68,947,13.93,5,1,1,5,,,125,190.7,194.7,156.7,9,26,68
86,Jason Witten,DAL,TE,29,16,16,0,0,0,0,0,0,0,,0,117,79,942,11.92,5,1,,5,,,124,203.2,206.2,163.7,27,6,48
87,DeSean Jackson,PHI,WR,25,15,15,0,0,0,0,0,7,41,5.86,0,104,58,961,16.57,4,1,,4,,,124,182.2,185.2,153.2,8,27,70
88,Blaine Gabbert,JAX,QB,22,15,14,210,413,2214,12,11,48,98,2.04,0,0,0,0,,0,14,4,0,,,124,116.4,134.4,127.4,,27,
89,LeGarrette Blount,TAM,RB,25,14,14,0,0,0,0,0,184,781,4.24,5,25,15,148,9.87,0,5,3,5,,,123,131.9,140.9,124.4,,29,
90,Darrius Heyward-Bey,OAK,WR,24,15,14,0,0,0,0,0,0,0,,0,115,64,975,15.23,4,1,1,4,,,122,183.5,187.5,151.5,5,28,71
91,Christian Ponder,MIN,QB,23,11,10,158,291,1853,13,13,28,219,7.82,0,0,0,0,,0,6,2,0,,,122,118,139,131,,28,
92,Antonio Gates*,SDG,TE,31,13,13,0,0,0,0,0,0,0,,0,88,64,778,12.16,7,0,,7,,,120,183.8,186.8,151.8,22,7,53
93,Reggie Wayne,IND,WR,33,16,16,0,0,0,0,0,0,0,,0,132,75,960,12.8,4,0,,4,,,120,195,198,157.5,4,29,72
94,Roy Helu,WAS,RB,23,15,5,0,0,0,0,0,151,640,4.24,2,59,49,379,7.73,1,2,2,3,,,120,164.9,172.9,140.4,,31,
95,Brandon Jacobs,NYG,RB,29,14,6,0,0,0,0,0,152,571,3.76,7,23,15,128,8.53,1,3,,8,1,,120,134.9,140.9,127.4,,32,
