Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
38,Sam Bradford,STL,QB,23,16,16,354,590,3512,18,15,27,63,2.33,1,0,0,0,,0,7,2,1,,,195,190.8,210.8,205.8,,20,
39,Mike Wallace,PIT,WR,24,16,16,0,0,0,0,0,5,39,7.8,0,98,60,1257,20.95,10,1,,10,,,190,249.6,252.6,219.6,72,5,18
40,Calvin Johnson*,DET,WR,25,15,15,0,0,0,0,0,4,32,8,0,137,77,1120,14.55,12,1,,12,1,,189,266.2,269.2,227.7,72,6,19
41,BenJarvus Green-Ellis,NWE,RB,25,16,11,0,0,0,0,0,229,1008,4.4,13,16,12,85,7.08,0,0,,13,,,187,199.3,202.3,193.3,49,15,31
42,Cedric Benson,CIN,RB,28,16,16,0,0,0,0,0,321,1111,3.46,7,37,28,178,6.36,1,7,5,8,1,,179,196.9,207.9,182.9,41,16,37
43,Donovan McNabb,WAS,QB,34,13,13,275,472,3377,14,15,29,151,5.21,0,0,0,0,,0,10,1,0,,,176,174.2,196.2,189.2,,21,
44,Reggie Wayne*+,IND,WR,32,16,16,0,0,0,0,0,0,0,,0,175,111,1355,12.21,6,1,1,6,,,172,280.5,284.5,225,54,7,27
45,Hakeem Nicks,NYG,WR,22,13,12,0,0,0,0,0,0,0,,0,128,79,1052,13.32,11,1,,11,,,171,250.2,253.2,210.7,54,8,28
46,Andre Johnson*,HOU,WR,29,13,13,0,0,0,0,0,2,10,5,0,138,86,1216,14.14,8,1,,8,,,171,256.6,259.6,213.6,53,9,29
47,Steve Johnson,BUF,WR,24,16,13,0,0,0,0,0,0,0,,0,141,82,1073,13.09,10,1,1,10,,,167,247.3,251.3,206.3,50,10,30
48,LaDainian Tomlinson,NYJ,RB,31,15,13,0,0,0,0,0,219,914,4.17,6,79,52,368,7.08,0,3,,6,,,164,216.2,222.2,190.2,26,17,48
49,Knowshon Moreno,DEN,RB,23,13,13,0,0,0,0,0,182,779,4.28,5,48,37,372,10.05,3,3,2,8,,,163,196.1,204.1,177.6,25,18,49
50,Mike Tolbert,SDG,RB,25,15,4,0,0,0,0,0,182,735,4.04,11,29,25,216,8.64,0,5,3,11,1,,163,182.1,191.1,169.6,25,19,50
51,Mike Williams,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,129,65,964,14.83,11,3,2,11,,,162,223.4,228.4,190.9,45,11,32
52,Shaun Hill,DET,QB,30,11,10,257,416,2686,16,12,22,123,5.59,0,0,0,0,,0,3,1,0,,1,162,159.7,178.7,171.7,,22,
53,Miles Austin*,DAL,WR,26,16,16,0,0,0,0,0,7,93,13.29,1,119,69,1041,15.09,7,1,1,8,,,161,228.4,232.4,193.9,44,12,33
54,Frank Gore,SFO,RB,27,11,11,0,0,0,0,0,203,853,4.2,3,72,46,452,9.83,2,4,2,5,,,161,202.5,210.5,179.5,22,20,51
55,Jeremy Maclin,PHI,WR,22,16,16,0,0,0,0,0,3,36,12,0,115,70,964,13.77,10,1,1,10,,,160,228,232,193,43,13,34
56,Jason Campbell,OAK,QB,29,13,12,194,329,2387,13,8,47,222,4.72,1,0,0,0,,0,9,1,1,,,160,157.7,172.7,165.7,,23,
57,Chad Henne,MIA,QB,25,15,14,301,490,3301,15,19,35,52,1.49,0,0,0,0,,0,5,2,0,,,159,155.2,179.2,174.2,,25,
58,Jon Kitna,DAL,QB,38,10,9,209,318,2365,16,12,31,147,4.74,1,0,0,0,,0,6,1,1,,2,159,157.3,176.3,169.3,,24,
59,DeSean Jackson*,PHI,WR,24,14,14,0,0,0,0,0,16,104,6.5,1,95,47,1056,22.47,6,4,1,8,,,158,209,216,185.5,41,14,38
60,Matt Hasselbeck,SEA,QB,35,14,14,266,444,3001,12,17,23,60,2.61,3,0,0,0,,0,7,5,3,,,158,148,173,165,,26,
61,Jason Witten*+,DAL,TE,28,16,16,0,0,0,0,0,0,0,,0,128,94,1002,10.66,9,1,1,9,1,,156,248.2,252.2,201.2,60,1,24
62,Fred Jackson,BUF,RB,29,16,13,0,0,0,0,0,222,927,4.18,5,54,31,215,6.94,2,5,2,7,,,156,183.2,191.2,167.7,18,21,55
63,Terrell Owens,CIN,WR,37,14,11,0,0,0,0,0,0,0,,0,139,72,983,13.65,9,0,,9,,,152,224.3,227.3,188.3,35,15,40
64,Larry Fitzgerald*,ARI,WR,27,16,15,0,0,0,0,0,0,0,,0,173,90,1137,12.63,6,0,,6,1,,152,241.7,244.7,196.7,34,16,41
65,Mario Manningham,NYG,WR,24,16,8,0,0,0,0,0,1,2,2,0,93,60,944,15.73,9,1,1,9,,,149,206.6,210.6,176.6,31,17,44
66,Santana Moss,WAS,WR,31,16,16,0,0,0,0,0,5,-6,-1.2,0,145,93,1115,11.99,6,3,2,6,,,147,235.9,240.9,189.4,30,18,45
67,Marques Colston,NOR,WR,27,15,11,0,0,0,0,0,1,1,1,0,131,84,1023,12.18,7,0,,7,,,144,228.4,231.4,186.4,27,19,47
68,Brandon Jacobs,NYG,RB,28,16,5,0,0,0,0,0,147,823,5.6,9,13,7,59,8.43,0,2,2,9,,,142,145.2,150.2,141.7,4,22,68
69,Jahvid Best,DET,RB,21,16,9,0,1,0,0,0,171,555,3.25,4,80,58,487,8.4,2,1,1,6,,,140,196.2,203.2,167.2,2,23,72
70,Alex Smith,SFO,QB,26,11,10,204,342,2370,14,10,18,60,3.33,0,0,0,0,,0,4,2,0,,1,139,134.8,149.8,144.8,,27,
71,Antonio Gates*,SDG,TE,30,10,10,0,0,0,0,0,0,0,,0,65,50,782,15.64,10,0,,10,,,138,188.2,191.2,163.2,42,2,36
72,LeGarrette Blount,TAM,RB,24,13,7,0,0,0,0,0,201,1007,5.01,6,7,5,14,2.8,0,4,3,6,,,138,137.1,143.1,134.6,,24,76
