Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
53,2017,Trent Taylor,WR,22,5,Louisiana Tech,College Stats,8-May,181,4.63,33,13,117,6.74,4.01,San Francisco 49ers / 5th / 177th pick / 2017
54,2017,Taywan Taylor,WR,22,6,Western Kentucky,College Stats,11-May,203,4.5,33.5,13,132,6.57,4.21,Tennessee Titans / 3rd / 72nd pick / 2017
55,2017,Ryan Switzer,WR,22,3,North Carolina,College Stats,8-May,181,4.51,32,11,116,6.77,4,Dallas Cowboys / 4th / 133rd pick / 2017
56,2017,ArDarius Stewart,WR,23,1,Alabama,College Stats,11-May,204,4.49,34,,124,,,New York Jets / 3rd / 79th pick / 2017
57,2017,JuJu Smith-Schuster,WR,20,25,USC,College Stats,1-Jun,215,4.54,32.5,15,120,,,Pittsburgh Steelers / 2nd / 62nd pick / 2017
58,2017,Ricky Seals-Jones,WR,21,5,Texas A&M,College Stats,5-Jun,243,4.69,28,17,121,7.46,4.33,
59,2017,Curtis Samuel,WR,20,12,Ohio State,College Stats,11-May,196,4.31,37,18,119,7.09,4.33,Carolina Panthers / 2nd / 40th pick / 2017
60,2017,Travis Rudolph,WR,21,1,Florida State,College Stats,Jun-00,189,4.65,31.5,12,114,6.93,4.46,
61,2017,John Ross,WR,22,5,Washington,College Stats,11-May,188,4.22,37,,133,,,Cincinnati Bengals / 1st / 9th pick / 2017
62,2017,Josh Reynolds,WR,22,8,Texas A&M,College Stats,3-Jun,194,4.52,37,,124,6.83,4.13,Los Angeles Rams / 4th / 117th pick / 2017
63,2017,Zach Pascal,WR,22,9,Old Dominion,College Stats,2-Jun,219,4.55,36,14,126,7.11,4.29,
64,2017,Isaiah McKenzie,WR,21,4,Georgia,College Stats,7-May,173,4.42,36,11,123,6.64,4.15,Denver Broncos / 5th / 172nd pick / 2017
65,2017,Josh Malone,WR,20,1,Tennessee,College Stats,3-Jun,208,4.4,30.5,10,121,7.05,4.19,Cincinnati Bengals / 4th / 128th pick / 2017
66,2017,Cooper Kupp,WR,23,24,East. Washington,,2-Jun,204,4.62,31,,116,6.75,4.08,Los Angeles Rams / 3rd / 69th pick / 2017
67,2017,Zay Jones,WR,21,10,East Carolina,,2-Jun,201,4.45,36.5,15,133,6.79,4.01,Buffalo Bills / 2nd / 37th pick / 2017
68,2017,Mack Hollins,WR,23,3,North Carolina,College Stats,4-Jun,221,4.53,,,,,,Philadelphia Eagles / 4th / 118th pick / 2017
69,2017,Keon Hatcher,WR,22,0,Arkansas,College Stats,1-Jun,212,4.64,,16,,,,
70,2017,Chad Hansen,WR,22,1,California,College Stats,2-Jun,202,4.53,35,11,119,6.74,4.13,New York Jets / 4th / 141st pick / 2017
71,2017,Kenny Golladay,WR,23,21,Northern Illinois,College Stats,4-Jun,218,4.5,35.5,18,120,7,4.15,Detroit Lions / 3rd / 96th pick / 2017
72,2017,Chris Godwin,WR,21,20,Penn State,College Stats,1-Jun,209,4.42,36,19,126,7.01,4,Tampa Bay Buccaneers / 3rd / 84th pick / 2017
73,2017,Shelton Gibson,WR,21,0,West Virginia,College Stats,11-May,191,4.5,32,8,118,6.83,4.2,Philadelphia Eagles / 5th / 166th pick / 2017
74,2017,Isaiah Ford,WR,21,2,Virginia Tech,College Stats,1-Jun,194,4.61,35.5,14,127,6.94,4.34,Miami Dolphins / 7th / 237th pick / 2017
75,2017,Malachi Dupre,WR,21,0,LSU,College Stats,2-Jun,196,4.52,39.5,11,135,7.19,4.26,Green Bay Packers / 7th / 247th pick / 2017
76,2017,Robert Davis,WR,21,0,Georgia State,College Stats,3-Jun,219,4.44,41,19,136,6.82,4.28,Washington Redskins / 6th / 209th pick / 2017
77,2017,Corey Davis,WR,22,15,West. Michigan,College Stats,3-Jun,209,,,,,,,Tennessee Titans / 1st / 5th pick / 2017
78,2017,Amara Darboh,WR,23,1,Michigan,College Stats,2-Jun,214,4.45,36,17,124,,,Seattle Seahawks / 3rd / 106th pick / 2017
79,2017,Stacy Coley,WR,22,0,Miami (FL),College Stats,1-Jun,195,4.45,34,10,122,,,Minnesota Vikings / 7th / 219th pick / 2017
80,2017,Jehu Chesson,WR,23,0,Michigan,College Stats,3-Jun,204,4.47,35.5,10,132,6.7,4.09,Kansas City Chiefs / 4th / 139th pick / 2017
81,2017,Noah Brown,WR,21,0,Ohio State,College Stats,2-Jun,222,,,19,,7.07,4.33,Dallas Cowboys / 7th / 239th pick / 2017
82,2017,Quincy Adeboyejo,WR,21,0,Mississippi,College Stats,3-Jun,197,4.42,34.5,8,123,6.73,4.14,
83,2017,Rodney Adams,WR,22,0,South Florida,College Stats,1-Jun,189,4.44,29.5,8,125,6.98,4.28,Minnesota Vikings / 5th / 170th pick / 2017
84,2016,Laquon Treadwell,WR,20,6,Mississippi,College Stats,2-Jun,221,4.52,33,12,117,,,Minnesota Vikings / 1st / 23rd pick / 2016
85,2016,Michael Thomas,WR,23,58,Ohio State,College Stats,3-Jun,212,4.57,35,18,126,6.8,4.13,New Orleans Saints / 2nd / 47th pick / 2016
86,2016,Sterling Shepard,WR,23,22,Oklahoma,College Stats,10-May,194,4.48,41,20,123,7,4.35,New York Giants / 2nd / 40th pick / 2016
87,2016,Tajae Sharpe,WR,21,11,Massachusetts,College Stats,2-Jun,194,4.55,33.5,11,114,,,Tennessee Titans / 5th / 140th pick / 2016
88,2016,Hunter Sharp,WR,21,0,Utah State,College Stats,11-May,198,4.58,32.5,12,116,7.12,4.19,
89,2016,Rashawn Scott,WR,24,0,Miami (FL),College Stats,1-Jun,199,4.54,32.5,17,116,,,
90,2016,Alonzo Russell,WR,23,0,Toledo,College Stats,4-Jun,206,4.54,29.5,12,112,7.18,4.33,
91,2016,Demarcus Robinson,WR,21,10,Florida,College Stats,1-Jun,203,4.59,34.5,,123,6.77,4.19,Kansas City Chiefs / 4th / 126th pick / 2016
92,2016,Charone Peake,WR,23,1,Clemson,College Stats,2-Jun,209,4.45,35.5,12,122,6.96,4.46,New York Jets / 7th / 241st pick / 2016
93,2016,Jordan Payton,WR,22,0,UCLA,College Stats,1-Jun,207,4.47,34.5,,121,7.08,4.33,Cleveland Browns / 5th / 154th pick / 2016
94,2016,Chris Moore,WR,22,4,Cincinnati,College Stats,1-Jun,206,4.53,37,10,130,6.76,4.2,Baltimore Ravens / 4th / 107th pick / 2016
95,2016,Malcolm Mitchell,WR,23,4,Georgia,College Stats,Jun-00,198,4.45,36,15,129,6.94,4.34,New England Patriots / 4th / 112th pick / 2016
96,2016,Braxton Miller,WR,23,2,Ohio State,College Stats,1-Jun,201,4.5,35,17,123,6.65,4.07,Houston Texans / 3rd / 85th pick / 2016
97,2016,Jalin Marshall,WR,20,1,Ohio State,College Stats,10-May,200,4.6,37.5,16,125,6.8,4.13,
98,2016,Byron Marshall,WR,22,0,Oregon,College Stats,9-May,201,4.42,,17,,,,
99,2016,Ricardo Louis,WR,21,3,Auburn,College Stats,2-Jun,215,4.43,38,18,132,,,Cleveland Browns / 4th / 114th pick / 2016
100,2016,Rashard Higgins,WR,21,6,Colorado State,College Stats,1-Jun,196,4.64,32,13,116,,,Cleveland Browns / 5th / 172nd pick / 2016
101,2016,Will Fuller,WR,21,19,Notre Dame,College Stats,Jun-00,186,4.32,33.5,10,126,6.93,4.27,Houston Texans / 1st / 21st pick / 2016
102,2016,D.J. Foster,WR,22,1,Arizona State,College Stats,10-May,193,4.57,35.5,14,117,6.75,4.07,
103,2016,Josh Doctson,WR,23,9,TCU,College Stats,2-Jun,202,4.5,41,14,131,6.84,4.08,Washington Redskins / 1st / 22nd pick / 2016
104,2016,Trevor Davis,WR,22,2,California,College Stats,1-Jun,188,4.42,38.5,11,124,6.6,4.22,Green Bay Packers / 5th / 163rd pick / 2016
105,2016,Cody Core,WR,21,3,Mississippi,College Stats,3-Jun,205,4.47,31.5,14,119,,,Cincinnati Bengals / 6th / 199th pick / 2016
106,2016,Pharoh Cooper,WR,21,5,South Carolina,College Stats,11-May,203,4.52,31,15,115,,,Los Angeles Rams / 4th / 117th pick / 2016
107,2016,Corey Coleman,WR,21,6,Baylor,College Stats,11-May,194,4.42,40.5,17,129,,,Cleveland Browns / 1st / 15th pick / 2016
108,2016,Leonte Carroo,WR,22,2,Rutgers,College Stats,Jun-00,211,4.5,35.5,14,120,,,Miami Dolphins / 3rd / 86th pick / 2016
109,2016,Aaron Burbridge,WR,22,1,Michigan State,College Stats,Jun-00,206,4.56,30.5,20,115,7.22,4.31,San Francisco 49ers / 6th / 213th pick / 2016
110,2016,Tyler Boyd,WR,21,23,Pittsburgh,College Stats,1-Jun,197,4.58,34,11,119,6.9,4.35,Cincinnati Bengals / 2nd / 55th pick / 2016
111,2016,Demarcus Ayers,WR,21,0,Houston,College Stats,9-May,182,4.72,33,,123,,,Pittsburgh Steelers / 7th / 229th pick / 2016
112,2016,Geronimo Allison,WR,22,9,Illinois,College Stats,3-Jun,196,4.67,33,,127,7.4,4.28,
113,2016,Bralon Addison,WR,22,0,Oregon,College Stats,9-May,197,4.66,34.5,13,116,6.95,4.14,
114,2015,Kevin White,WR,22,2,West Virginia,College Stats,3-Jun,215,4.35,36.5,23,123,6.92,4.14,Chicago Bears / 1st / 7th pick / 2015
115,2015,DeAndrew White,WR,23,0,Alabama,College Stats,11-May,193,4.44,34.5,,118,6.97,4.18,
116,2015,Darren Waller,WR,22,10,Georgia Tech,College Stats,6-Jun,238,4.46,37,12,125,7.07,4.25,Baltimore Ravens / 6th / 204th pick / 2015
117,2015,Jaelen Strong,WR,21,2,Arizona State,College Stats,2-Jun,217,4.44,42,,123,,,Houston Texans / 3rd / 70th pick / 2015
118,2015,Devin Smith,WR,23,2,Ohio State,College Stats,Jun-00,196,4.42,39,10,122,,4.15,New York Jets / 2nd / 37th pick / 2015
119,2015,DeAndre Smelter,WR,23,0,Georgia Tech,College Stats,2-Jun,226,4.52,,,,,,San Francisco 49ers / 4th / 132nd pick / 2015
120,2015,Breshad Perriman,WR,21,11,Central Florida,College Stats,2-Jun,212,,,,,,,Baltimore Ravens / 1st / 26th pick / 2015
