Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Priest Holmes*+,KAN,RB,29,14,14,0,1,0,0,0,313,1615,5.16,21,81,70,672,9.6,3,1,1,24,,,372,440.7,447.7,405.7,232,1,1
2,Ricky Williams*+,MIA,RB,25,16,16,0,0,0,0,0,383,1853,4.84,16,59,47,363,7.72,1,7,4,17,,,317,362.6,372.6,339.1,176,2,2
3,LaDainian Tomlinson*,SDG,RB,23,16,16,0,0,0,0,0,372,1683,4.52,14,101,79,489,6.19,1,3,1,15,,,304,384.2,391.2,344.7,164,3,3
4,Rich Gannon*+,OAK,QB,37,16,16,418,618,4689,26,10,50,156,3.12,3,0,0,0,,0,9,3,3,,2,300,303.2,322.2,313.2,81,1,14
5,Clinton Portis,DEN,RB,21,16,12,0,0,0,0,0,273,1508,5.52,15,49,33,364,11.03,2,5,3,17,,,284,316.2,325.2,299.7,144,4,4
6,Michael Vick*,ATL,QB,22,15,15,231,421,2936,16,8,113,777,6.88,8,1,0,16,,0,9,5,8,,,284,282.7,301.7,290.7,64,2,21
7,Daunte Culpepper,MIN,QB,25,16,16,333,549,3853,18,23,106,609,5.75,10,0,0,0,,0,23,9,10,1,,280,285,323,308,60,3,25
8,Shaun Alexander,SEA,RB,25,16,16,0,0,0,0,0,295,1175,3.98,16,78,59,460,7.8,2,3,1,18,,,269,328.5,335.5,299,128,5,5
9,Deuce McAllister*,NOR,RB,24,15,15,0,0,0,0,0,325,1388,4.27,13,74,47,352,7.49,3,4,3,16,,,266,311,320,287.5,126,6,6
10,Peyton Manning*,IND,QB,26,16,16,392,591,4200,27,19,38,148,3.89,2,0,0,0,,0,6,2,2,,2,263,264.8,291.8,283.8,43,4,35
