Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Daunte Culpepper*,MIN,QB,27,16,16,379,548,4717,39,11,88,406,4.61,2,0,0,0,,0,9,5,2,1,2,381,371.3,393.3,382.3,149,1,2
2,Peyton Manning*+,IND,QB,28,16,16,336,497,4557,49,10,25,38,1.52,0,0,0,0,,0,5,1,0,,,362,360.1,374.1,370.1,129,2,5
3,Shaun Alexander*,SEA,RB,27,16,16,0,0,0,0,0,353,1696,4.8,16,38,23,170,7.39,4,5,3,20,,,307,323.6,332.6,312.1,149,1,1
4,Donovan McNabb*,PHI,QB,28,15,15,300,469,3875,31,8,41,220,5.37,3,0,0,0,,0,8,6,3,,,303,291,311,299,70,3,17
5,Tiki Barber*,NYG,RB,29,16,14,0,0,0,0,0,322,1518,4.71,13,79,52,578,11.12,2,5,2,15,,,300,347.6,355.6,321.6,142,2,3
6,LaDainian Tomlinson*+,SDG,RB,25,15,15,1,2,38,0,0,339,1335,3.94,17,66,53,441,8.32,1,6,2,18,,,287,336.1,344.1,309.6,130,3,4
7,Curtis Martin*+,NYJ,RB,31,16,16,0,0,0,0,0,371,1697,4.57,12,49,41,245,5.98,2,2,,14,,,278,319.2,325.2,298.7,121,4,6
8,Trent Green,KAN,QB,34,16,16,369,556,4591,27,17,25,85,3.4,0,0,0,0,,0,11,4,0,,1,268,260.1,284.1,277.1,35,4,38
9,Domanick Williams,HOU,RB,24,15,15,0,0,0,0,0,302,1188,3.93,13,84,68,588,8.65,1,4,3,14,,,262,323.6,332.6,289.6,104,5,9
10,Edgerrin James*,IND,RB,26,16,16,0,0,0,0,0,334,1548,4.63,9,60,51,483,9.47,0,6,2,9,1,,259,306.1,314.1,280.6,102,6,10
11,Jake Delhomme,CAR,QB,29,16,16,310,533,3886,29,15,25,71,2.84,1,0,0,0,,0,12,5,1,,2,259,248.5,271.5,263.5,26,5,49
12,Jake Plummer,DEN,QB,30,16,16,303,521,4089,27,20,62,202,3.26,1,0,0,0,,0,6,1,1,,,258,255.8,282.8,275.8,25,6,51
13,Brett Favre,GNB,QB,35,16,16,346,540,4088,30,17,16,36,2.25,0,0,0,0,,0,4,1,0,,2,257,255.1,276.1,272.1,24,7,52
14,Corey Dillon*,NWE,RB,30,15,14,0,0,0,0,0,345,1635,4.74,12,21,15,103,6.87,1,5,4,13,1,,252,260.8,270.8,253.3,94,7,12
15,Aaron Brooks,NOR,QB,28,16,16,309,542,3810,21,16,58,173,2.98,4,1,1,1,1,0,13,2,4,,1,248,244.8,268.8,260.3,15,8,59
16,Drew Brees*,SDG,QB,25,15,15,262,400,3159,27,7,53,85,1.6,2,1,1,38,38,0,7,2,2,,,245,241.7,253.7,248.2,12,9,61
17,Marc Bulger,STL,QB,27,14,14,321,485,3964,21,14,19,89,4.68,3,0,0,0,,0,5,4,3,,1,243,235.5,256.5,249.5,11,10,62
18,Muhsin Muhammad*+,CAR,WR,31,16,16,0,0,0,0,0,3,15,5,0,160,93,1405,15.11,16,3,1,16,,,238,329,333,282.5,111,1,7
19,Tom Brady*,NWE,QB,27,16,16,288,474,3692,28,14,43,28,0.65,0,0,0,0,,0,7,4,0,,,234,226.5,247.5,240.5,2,11,73
20,Michael Vick*,ATL,QB,24,15,15,181,321,2313,14,12,120,902,7.52,3,0,0,0,,0,16,7,3,,,233,218.7,243.7,230.7,,12,75
21,Rudi Johnson*,CIN,RB,25,16,16,0,0,0,0,0,361,1454,4.03,12,28,15,84,5.6,0,4,4,12,,,226,232.8,239.8,225.3,68,8,20
22,Matt Hasselbeck,SEA,QB,29,14,14,279,474,3382,22,15,27,90,3.33,1,0,0,0,,0,5,2,1,,2,212,208.3,228.3,223.3,,13,
23,Javon Walker*,GNB,WR,26,16,12,0,0,0,0,0,0,0,,0,144,89,1382,15.53,12,2,2,12,,,210,295.2,300.2,250.7,83,2,13
24,Joe Horn*,NOR,WR,32,16,16,0,0,0,0,0,0,0,,0,153,94,1399,14.88,11,0,,11,1,,208,301.9,304.9,254.9,81,3,14
25,Willis McGahee,BUF,RB,23,16,11,0,0,0,0,0,284,1128,3.97,13,36,22,169,7.68,0,4,2,13,,,208,225.7,233.7,214.7,50,9,24
26,David Carr,HOU,QB,25,16,16,285,466,3531,16,14,73,299,4.1,0,0,0,0,,0,10,3,0,,,207,201.1,224.1,215.1,,14,
27,Brian Westbrook*,PHI,RB,25,13,12,0,0,0,0,0,177,812,4.59,3,87,73,703,9.63,6,1,1,9,,,206,276.5,283.5,240,48,10,26
28,Terrell Owens*+,PHI,WR,31,14,14,0,0,0,0,0,3,-5,-1.67,0,127,77,1200,15.58,14,2,1,14,,,204,278.5,282.5,240,76,4,15
29,Clinton Portis,WAS,RB,23,15,15,1,2,15,1,0,343,1315,3.83,5,57,40,235,5.88,2,5,3,7,,,202,235.6,244.6,215.6,44,11,28
30,Marvin Harrison*,IND,WR,32,16,16,0,0,0,0,0,0,0,,0,139,86,1113,12.94,15,1,1,15,,,201,285.3,289.3,242.3,74,5,16
31,Priest Holmes,KAN,RB,31,8,8,0,0,0,0,0,196,892,4.55,14,25,19,187,9.84,1,4,2,15,,,198,212.9,220.9,203.4,41,12,29
32,Torry Holt*,STL,WR,28,16,16,0,0,0,0,0,0,0,,0,135,94,1372,14.6,10,3,,10,,,197,291.2,294.2,244.2,70,6,18
33,Drew Bennett,TEN,WR,26,16,16,1,1,26,1,0,1,12,12,0,144,80,1247,15.59,11,3,,11,,,197,276.9,279.9,236.9,70,7,19
34,Ahman Green*,GNB,RB,27,15,15,1,1,20,1,0,259,1163,4.49,7,51,40,275,6.88,1,7,4,8,,,197,228.6,238.6,208.6,39,13,31
35,Reuben Droughns,DEN,RB,26,16,15,0,0,0,0,0,275,1240,4.51,6,44,32,241,7.53,2,5,3,8,,,196,222.1,231.1,206.1,39,14,32
36,Warrick Dunn,ATL,RB,29,16,16,0,0,0,0,0,265,1106,4.17,9,39,29,294,10.14,0,3,2,9,,,194,219,227,204.5,37,15,36
37,Reggie Wayne,IND,WR,26,16,16,0,0,0,0,0,1,-4,-4,0,115,77,1210,15.71,12,0,,12,,,193,269.6,272.6,231.1,65,8,22
38,Joey Harrington,DET,QB,26,16,16,274,489,3047,19,12,48,175,3.65,0,0,0,0,,0,6,3,0,,1,193,187.4,208.4,199.4,,15,
39,Michael Pittman,TAM,RB,29,13,13,0,0,0,0,0,219,926,4.23,7,65,41,391,9.54,3,6,6,10,,,192,220.7,232.7,200.2,34,16,40
