Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2007,Selvin Young,RB,23,9,Texas,College Stats,11-May,207,4.58,,,,,,
2,2007,DeShawn Wynn,RB,23,3,Florida,College Stats,10-May,232,4.47,31.5,,115,,,Green Bay Packers / 7th / 228th pick / 2007
3,2007,Dwayne Wright,RB,23,1,Fresno State,College Stats,11-May,228,4.66,34,14,115,7.23,4.43,Buffalo Bills / 4th / 111th pick / 2007
4,2007,Garrett Wolfe,RB,22,2,Northern Illinois,College Stats,7-May,186,4.39,35.5,22,116,6.69,4.08,Chicago Bears / 3rd / 93rd pick / 2007
5,2007,Darius Walker,RB,21,3,Notre Dame,College Stats,10-May,206,4.55,40.5,19,123,7.18,4.39,
6,2007,Kolby Smith,RB,22,4,Louisville,College Stats,11-May,220,4.5,38,18,114,7.22,4.34,Kansas City Chiefs / 5th / 148th pick / 2007
7,2007,Gary Russell,RB,20,1,Minnesota,College Stats,10-May,229,4.77,31.5,9,113,,4.54,
8,2007,Antonio Pittman,RB,21,3,Ohio State,College Stats,11-May,207,4.4,35.5,16,123,6.84,4.16,New Orleans Saints / 4th / 107th pick / 2007
9,2007,Adrian Peterson,RB,21,121,Oklahoma,College Stats,1-Jun,217,4.4,38.5,,127,7.09,4.4,Minnesota Vikings / 1st / 7th pick / 2007
10,2007,Marshawn Lynch,RB,20,90,California,College Stats,11-May,215,4.46,35.5,20,125,7.05,4.55,Buffalo Bills / 1st / 12th pick / 2007
11,2007,Brian Leonard,RB,23,12,Rutgers,College Stats,1-Jun,226,4.52,34.5,28,122,6.88,4.22,St. Louis Rams / 2nd / 52nd pick / 2007
12,2007,Brandon Jackson,RB,21,17,Nebraska,College Stats,10-May,210,4.54,37,21,122,7,4.14,Green Bay Packers / 2nd / 63rd pick / 2007
13,2007,Tony Hunt,RB,21,0,Penn State,College Stats,2-Jun,233,4.68,,24,,,,Philadelphia Eagles / 3rd / 90th pick / 2007
14,2007,Chris Henry,RB,21,1,Arizona,College Stats,11-May,230,4.4,36,26,127,6.96,4.14,Tennessee Titans / 2nd / 50th pick / 2007
15,2007,Kenneth Darby,RB,24,4,Alabama,College Stats,10-May,211,4.75,30,19,108,7.25,4.53,Tampa Bay Buccaneers / 7th / 246th pick / 2007
16,2007,Alonzo Coleman,RB,23,0,Kansas State,,10-May,207,4.49,,27,120,,,
17,2007,Thomas Clayton,RB,22,0,Kansas State,College Stats,10-May,218,4.63,36.5,23,121,,,
18,2007,Michael Bush,RB,22,26,Louisville,College Stats,1-Jun,243,4.62,,,,,,Oakland Raiders / 4th / 100th pick / 2007
19,2007,Eldra Buckley,RB,21,1,Tenn-Chattanooga,,9-May,202,4.56,35.5,14,120,7.71,4.43,
20,2007,Ahmad Bradshaw,RB,20,47,Marshall,College Stats,9-May,198,4.55,34,,112,6.7,4.09,New York Giants / 7th / 250th pick / 2007
21,2007,Lorenzo Booker,RB,22,4,Florida State,College Stats,10-May,191,4.46,35.5,26,121,,,Miami Dolphins / 3rd / 71st pick / 2007
22,2006,DeAngelo Williams,RB,22,73,Memphis,College Stats,9-May,214,4.45,35.5,25,121,,,Carolina Panthers / 1st / 27th pick / 2006
23,2006,LenDale White,RB,21,15,USC,College Stats,Jun-00,238,4.49,,,,,,Tennessee Titans / 2nd / 45th pick / 2006
24,2006,Leon Washington,RB,23,34,Florida State,College Stats,8-May,201,4.42,32.5,17,105,6.94,4.37,New York Jets / 4th / 117th pick / 2006
25,2006,Derrick Ross,RB,22,0,Tarleton State,,10-May,226,4.56,35,20,112,7,4.35,
26,2006,Cory Ross,RB,23,0,Nebraska,College Stats,6-May,201,4.58,,15,,,,
27,2006,Jerious Norwood,RB,22,21,Mississippi State,College Stats,Jun-00,210,4.4,36.5,15,122,6.81,4.25,Atlanta Falcons / 3rd / 79th pick / 2006
28,2006,Laurence Maroney,RB,21,27,Minnesota,College Stats,Jun-00,217,4.48,,,,,,New England Patriots / 1st / 21st pick / 2006
29,2006,Wali Lundy,RB,22,5,Virginia,College Stats,11-May,214,4.48,35,18,111,6.99,4.36,Houston Texans / 6th / 170th pick / 2006
30,2006,Jerome Harrison,RB,23,14,Washington State,College Stats,9-May,201,4.47,34.5,19,124,6.77,4.07,Cleveland Browns / 5th / 145th pick / 2006
31,2006,Andre Hall,RB,23,3,South Florida,College Stats,8-May,208,4.4,33,18,113,7.38,,
32,2006,Marques Hagans,RB,23,1,Virginia,College Stats,9-May,202,4.67,35,,114,7.03,4.38,St. Louis Rams / 5th / 144th pick / 2006
33,2006,Quinton Ganther,RB,21,3,Utah,College Stats,9-May,218,4.5,35,29,119,7.19,,Tennessee Titans / 7th / 246th pick / 2006
34,2006,Maurice Jones-Drew,RB,20,84,UCLA,College Stats,7-May,207,4.39,36,18,116,7.08,4.38,Jacksonville Jaguars / 2nd / 60th pick / 2006
35,2006,P.J. Daniels,RB,23,0,Georgia Tech,College Stats,10-May,214,4.64,33,21,116,7.13,4.4,Baltimore Ravens / 4th / 132nd pick / 2006
36,2006,Brian Calhoun,RB,21,1,Wisconsin,College Stats,9-May,201,4.57,31.5,18,124,7.05,4.2,Detroit Lions / 3rd / 74th pick / 2006
37,2006,Reggie Bush,RB,21,72,USC,College Stats,11-May,201,4.37,,,,,,New Orleans Saints / 1st / 2nd pick / 2006
38,2006,Mike Bell,RB,22,12,Arizona,College Stats,Jun-00,221,4.6,31.5,19,112,7.16,4.21,
39,2006,Joseph Addai,RB,22,54,LSU,College Stats,11-May,214,4.4,38.5,18,125,7.09,4.47,Indianapolis Colts / 1st / 30th pick / 2006
40,2005,Cadillac Williams,RB,22,29,Auburn,College Stats,11-May,217,4.43,35.5,19,118,6.94,4.15,Tampa Bay Buccaneers / 1st / 5th pick / 2005
41,2005,Darren Sproles,RB,21,80,Kansas State,College Stats,6-May,187,4.47,33,23,105,6.96,3.96,San Diego Chargers / 4th / 130th pick / 2005
42,2005,Eric Shelton,RB,21,0,Louisville,College Stats,1-Jun,246,4.53,38.5,,124,7.44,4.08,Carolina Panthers / 2nd / 54th pick / 2005
43,2005,Alvin Pearman,RB,22,5,Virginia,College Stats,9-May,208,4.63,34,24,114,7.06,4.08,Jacksonville Jaguars / 4th / 127th pick / 2005
44,2005,Vernand Morency,RB,25,8,Oklahoma State,College Stats,10-May,212,4.66,33.5,19,108,7.02,4.12,Houston Texans / 3rd / 73rd pick / 2005
45,2005,Ryan Moats,RB,22,7,Louisiana Tech,College Stats,8-May,210,4.46,36,19,117,7.22,4.1,Philadelphia Eagles / 3rd / 77th pick / 2005
46,2005,Brandon Jacobs,RB,22,41,Southern Illinois,,4-Jun,267,4.56,37,19,118,7.53,4.46,New York Giants / 4th / 110th pick / 2005
47,2005,Cedric Houston,RB,22,5,Tennessee,College Stats,11-May,225,4.61,,,,,,New York Jets / 6th / 182nd pick / 2005
48,2005,Noah Herron,RB,22,3,Northwestern,College Stats,11-May,224,4.6,31,17,108,6.95,3.97,Pittsburgh Steelers / 7th / 244th pick / 2005
49,2005,Alex Haynes,RB,23,0,Central Florida,College Stats,10-May,223,4.51,32.5,21,,,,
50,2005,Kay-Jay Harris,RB,25,0,West Virginia,College Stats,Jun-00,241,4.56,38,,122,7.2,4.1,
51,2005,Ryan Grant,RB,22,38,Notre Dame,College Stats,1-Jun,215,4.43,33.5,17,115,7.08,4.12,
52,2005,Frank Gore,RB,21,129,Miami (FL),College Stats,9-May,217,4.58,,,,,,San Francisco 49ers / 3rd / 65th pick / 2005
53,2005,Lionel Gates,RB,22,0,Louisville,College Stats,Jun-00,222,4.6,36,23,121,7.17,4.1,Buffalo Bills / 7th / 236th pick / 2005
54,2005,Ciatrick Fason,RB,22,1,Florida,College Stats,1-Jun,207,4.58,,,,,,Minnesota Vikings / 4th / 112th pick / 2005
55,2005,DeAndra Cobb,RB,23,0,Michigan State,College Stats,10-May,196,4.49,34,17,118,7.13,4.25,Atlanta Falcons / 6th / 201st pick / 2005
56,2005,Ronnie Brown,RB,23,48,Auburn,College Stats,Jun-00,233,4.43,34,18,117,7.1,4.08,Miami Dolphins / 1st / 2nd pick / 2005
57,2005,Nehemiah Broughton,RB,22,0,Citadel,,11-May,250,4.59,30,25,108,7.54,4.28,Washington Redskins / 7th / 222nd pick / 2005
58,2005,Cedric Benson,RB,22,39,Texas,College Stats,10-May,222,4.62,,,,,,Chicago Bears / 1st / 4th pick / 2005
59,2005,Marion Barber,RB,21,45,Minnesota,College Stats,11-May,221,4.49,40,20,127,,,Dallas Cowboys / 4th / 109th pick / 2005
60,2005,J.J. Arrington,RB,22,12,California,College Stats,9-May,214,4.4,35,18,121,6.81,4.1,Arizona Cardinals / 2nd / 44th pick / 2005
61,2004,Jason Wright,RB,21,10,Northwestern,College Stats,10-May,210,4.68,30,,111,7.35,4.12,
62,2004,Quincy Wilson,RB,22,0,West Virginia,College Stats,9-May,225,4.6,33.5,26,118,7.68,4.36,Atlanta Falcons / 7th / 219th pick / 2004
63,2004,Shaud Williams,RB,23,3,Alabama,College Stats,7-May,193,4.73,34,15,114,7.01,4.15,
64,2004,Michael Turner,RB,22,62,Northern Illinois,College Stats,10-May,237,4.49,31,22,114,7.5,4.15,San Diego Chargers / 5th / 154th pick / 2004
65,2004,Chris Perry,RB,22,9,Michigan,College Stats,Jun-00,224,4.56,,19,,,,Cincinnati Bengals / 1st / 26th pick / 2004
66,2004,Jarrett Payton,RB,23,1,Miami (FL),College Stats,Jun-00,220,4.66,31,,115,7.34,4.31,
67,2004,Mewelde Moore,RB,21,33,Tulane,College Stats,11-May,209,4.65,35,,118,7.05,4.12,Minnesota Vikings / 4th / 119th pick / 2004
68,2004,Kevin Jones,RB,21,29,Virginia Tech,College Stats,Jun-00,227,4.38,38,,120,,,Detroit Lions / 1st / 30th pick / 2004
69,2004,Julius Jones,RB,22,43,Notre Dame,College Stats,10-May,217,4.47,37.5,,121,6.97,4.12,Dallas Cowboys / 2nd / 43rd pick / 2004
70,2004,Greg Jones,RB,22,10,Florida State,College Stats,1-Jun,249,4.55,,,,,,Jacksonville Jaguars / 2nd / 55th pick / 2004
71,2004,Steven Jackson,RB,20,92,Oregon State,College Stats,1-Jun,241,4.55,,,,,,St. Louis Rams / 1st / 24th pick / 2004
72,2004,Adimchinobi Echemandu,RB,23,1,California,College Stats,11-May,226,4.58,,15,,,,Cleveland Browns / 7th / 208th pick / 2004
73,2004,Cedric Cobbs,RB,23,0,Arkansas,College Stats,Jun-00,223,4.75,40,,123,,,New England Patriots / 4th / 128th pick / 2004
74,2004,Ran Carthon,RB,23,0,Florida,College Stats,11-May,224,4.51,34.5,22,112,,4.12,
75,2004,Tatum Bell,RB,23,23,Oklahoma State,College Stats,11-May,212,4.37,38.5,25,117,,,Denver Broncos / 2nd / 41st pick / 2004
76,2004,Rich Alexis,RB,22,0,Washington,College Stats,Jun-00,210,4.64,32,,114,7.41,4.43,
77,2003,LaBrandon Toefield,RB,22,5,LSU,College Stats,11-May,233,4.6,,19,,,,Jacksonville Jaguars / 4th / 132nd pick / 2003
78,2003,Lee Suggs,RB,22,8,Virginia Tech,College Stats,Jun-00,202,4.44,,,,,,Cleveland Browns / 4th / 115th pick / 2003
79,2003,Onterrio Smith,RB,22,14,Oregon,College Stats,10-May,220,4.48,,19,,,,Minnesota Vikings / 4th / 105th pick / 2003
80,2003,Musa Smith,RB,20,6,Georgia,College Stats,1-Jun,232,4.45,35.5,,123,,,Baltimore Ravens / 3rd / 77th pick / 2003
81,2003,Cecil Sapp,RB,24,2,Colorado State,College Stats,11-May,229,4.55,,,,,,
82,2003,Artose Pinner,RB,25,8,Kentucky,College Stats,10-May,229,4.68,,,,,,Detroit Lions / 4th / 99th pick / 2003
83,2003,Willis McGahee,RB,21,66,Miami (FL),College Stats,Jun-00,223,4.45,,,,,,Buffalo Bills / 1st / 23rd pick / 2003
84,2003,Sultan McCullough,RB,23,0,USC,College Stats,11-May,202,4.49,,27,,,,
85,2003,Nick Maddox,RB,22,0,Florida State,College Stats,11-May,211,4.65,33.5,18,115,7.33,4.5,
86,2003,Malaefou MacKenzie,RB,23,0,USC,College Stats,10-May,233,4.67,,,,,,Jacksonville Jaguars / 7th / 218th pick / 2003
87,2003,Larry Johnson,RB,23,56,Penn State,College Stats,1-Jun,228,4.45,,19,,,,Kansas City Chiefs / 1st / 27th pick / 2003
88,2003,Dwone Hicks,RB,21,0,Middle Tennessee State,College Stats,10-May,222,4.6,34,29,115,7.38,4.42,
89,2003,Quentin Griffin,RB,22,6,Oklahoma,College Stats,7-May,195,4.48,38,21,123,,4.08,Denver Broncos / 4th / 108th pick / 2003
90,2003,Earnest Graham,RB,23,20,Florida,College Stats,9-May,225,4.5,,22,,,,
91,2003,Justin Fargas,RB,23,20,USC,College Stats,1-Jun,219,4.35,,27,137,,,Oakland Raiders / 3rd / 96th pick / 2003
92,2003,Dahrran Diedrick,RB,24,0,Nebraska,College Stats,Jun-00,228,4.62,37,19,117,7.32,4.44,
93,2003,Domanick Williams,RB,22,34,LSU,College Stats,9-May,213,4.63,32.5,22,112,7.32,4.47,Houston Texans / 4th / 101st pick / 2003
94,2003,Avon Cobourne,RB,24,0,West Virginia,College Stats,7-May,205,4.7,31.5,21,112,7.21,4.18,
95,2003,Kerry Carter,RB,22,0,Stanford,College Stats,2-Jun,238,4.61,36,20,118,7.29,4.39,
