Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Aaron Rodgers*,GNB,QB,26,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,0,,0,10,4,5,,3,351,343,360,350,115,1,4
2,Chris Johnson*+,TEN,RB,24,16,16,0,1,0,0,0,358,2006,5.6,14,71,50,503,10.06,2,3,3,16,1,,349,392.9,401.9,367.9,202,1,1
3,Drew Brees*,NOR,QB,30,15,15,363,514,4388,34,11,22,33,1.5,2,1,1,-4,-4,0,10,6,2,,1,306,295.4,315.4,305.9,70,2,15
4,Adrian Peterson*+,MIN,RB,24,16,15,0,0,0,0,0,314,1383,4.4,18,57,43,436,10.14,0,7,6,18,,,290,320.9,332.9,299.4,143,2,2
5,Brett Favre*,MIN,QB,40,16,16,363,531,4202,33,7,9,7,0.78,0,1,1,-2,-2,0,2,3,0,,,287,281.6,294.6,288.1,50,3,27
6,Matt Schaub*,HOU,QB,28,16,16,396,583,4770,29,15,48,57,1.19,0,0,0,0,,0,3,2,0,,1,285,280.5,300.5,295.5,48,4,28
7,Tony Romo*,DAL,QB,29,16,16,347,550,4483,26,9,35,105,3,1,0,0,0,,0,6,4,1,,,282,273.8,292.8,282.8,46,5,35
8,Peyton Manning*+,IND,QB,33,16,16,393,571,4500,33,16,19,-13,-0.68,0,0,0,0,,0,2,,0,,,279,278.7,297.7,294.7,43,6,37
9,Philip Rivers*,SDG,QB,28,16,16,317,486,4254,28,9,26,50,1.92,1,0,0,0,,0,6,3,1,,,275,269.2,284.2,278.2,39,7,39
10,Tom Brady*,NWE,QB,32,16,16,371,565,4398,28,13,29,44,1.52,1,0,0,0,,0,4,2,1,,1,274,270.3,288.3,283.3,38,8,40
11,Maurice Jones-Drew*,JAX,RB,24,16,16,0,0,0,0,0,312,1391,4.46,15,71,53,374,7.06,1,2,1,16,,,273,323.5,330.5,297,126,3,3
12,Ben Roethlisberger,PIT,QB,27,15,15,337,506,4328,26,12,40,82,2.05,2,0,0,0,,0,7,3,2,,,273,267.3,285.3,279.3,37,9,42
13,Ray Rice*,BAL,RB,22,16,15,0,1,0,0,0,254,1339,5.27,7,101,78,702,9,1,3,2,8,,,252,326.1,334.1,287.1,105,4,5
14,Eli Manning,NYG,QB,28,16,16,317,509,4021,27,14,17,65,3.82,0,0,0,0,,0,13,8,0,,,247,231.3,256.3,245.3,11,10,63
15,Donovan McNabb*,PHI,QB,33,14,14,267,443,3553,22,10,37,140,3.78,2,1,1,1,1,0,10,2,2,,2,240,237.2,255.2,246.7,4,11,69
16,David Garrard*,JAX,QB,31,16,16,314,516,3597,15,10,77,323,4.19,3,0,0,0,,0,14,8,3,1,,236,220.2,244.2,230.2,,12,76
17,Frank Gore*,SFO,RB,26,14,14,0,0,0,0,0,229,1120,4.89,10,75,52,406,7.81,3,4,2,13,,,231,278.6,286.6,252.6,84,5,8
18,Thomas Jones,NYJ,RB,31,16,16,0,0,0,0,0,331,1402,4.24,14,18,10,58,5.8,0,2,,14,,,230,240,243,235,83,6,9
19,Jay Cutler,CHI,QB,26,16,16,336,555,3666,27,26,40,173,4.33,1,0,0,0,,0,9,1,1,,2,230,227.9,260.9,253.9,,13,
20,Kurt Warner,ARI,QB,38,15,15,339,513,3753,26,14,21,10,0.48,0,0,0,0,,0,11,6,0,,,227,215.1,238.1,229.1,,14,
21,Jason Campbell,WAS,QB,28,16,16,327,507,3618,20,15,46,236,5.13,1,0,0,0,,0,13,4,1,,,224,216.3,241.3,231.3,,15,
22,Kyle Orton,DEN,QB,27,16,15,336,541,3802,21,12,24,71,2.96,0,0,0,0,,0,4,2,0,,,219,215.2,232.2,227.2,,16,
23,Ricky Williams,MIA,RB,32,16,7,0,1,0,0,1,241,1121,4.65,11,53,35,264,7.54,2,5,2,13,1,,217,247.5,256.5,231,70,7,16
24,Andre Johnson*+,HOU,WR,28,16,16,0,0,0,0,0,2,10,5,0,171,101,1569,15.53,9,1,,9,1,,214,314.9,317.9,264.4,98,1,6
25,Carson Palmer,CIN,QB,30,16,16,282,466,3094,21,13,39,93,2.38,3,0,0,0,,0,6,1,3,1,1,213,211.1,228.1,224.1,,17,
26,Ryan Grant,GNB,RB,27,16,16,0,0,0,0,0,282,1253,4.44,11,30,25,197,7.88,0,1,1,11,,,211,234,241,221.5,64,8,20
27,Joe Flacco,BAL,QB,24,16,16,315,499,3613,21,12,35,56,1.6,0,0,0,0,,0,8,2,0,,,210,206.1,223.1,218.1,,18,
28,Randy Moss,NWE,WR,32,16,16,0,0,0,0,0,0,0,,0,137,83,1264,15.23,13,2,1,13,1,,206,287.4,291.4,245.9,91,2,7
29,Joseph Addai,IND,RB,26,15,15,1,1,22,1,0,219,828,3.78,10,63,51,336,6.59,3,1,1,13,,,199,248.3,255.3,222.8,52,9,25
30,Miles Austin*,DAL,WR,25,16,9,0,0,0,0,0,2,-2,-1,0,124,81,1320,16.3,11,1,,11,,,198,278.8,281.8,238.3,82,3,10
31,Steven Jackson*,STL,RB,26,15,15,0,0,0,0,0,324,1416,4.37,4,75,51,322,6.31,0,2,2,4,,,198,244.8,252.8,219.3,51,10,26
32,Jonathan Stewart,CAR,RB,22,16,3,0,0,0,0,0,221,1133,5.13,10,26,18,139,7.72,1,3,2,11,,,193,207.2,215.2,198.2,46,11,32
33,Jamaal Charles,KAN,RB,23,15,10,0,0,0,0,0,190,1120,5.89,7,55,40,297,7.43,1,4,3,9,1,,192,231.7,240.7,211.7,45,12,36
34,DeSean Jackson*,PHI,WR,23,15,15,0,0,0,0,0,11,137,12.45,1,117,62,1156,18.65,9,3,1,12,,,189,261.3,268.3,230.3,74,4,12
35,Matt Ryan,ATL,QB,24,14,14,263,451,2916,22,14,30,49,1.63,1,0,0,0,,0,5,2,1,,,188,183.5,202.5,197.5,,19,
36,Larry Fitzgerald*,ARI,WR,26,16,16,0,0,0,0,0,0,0,,0,153,97,1092,11.26,13,0,,13,,,187,284.2,287.2,235.7,71,5,14
