Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Marshall Faulk*+,STL,RB,28,14,14,0,1,0,0,0,260,1382,5.32,12,104,83,765,9.22,9,3,3,21,1,,343,419.7,428.7,378.2,208,1,1
2,Jeff Garcia*,SFO,QB,31,16,16,316,504,3538,32,12,72,254,3.53,5,0,0,0,,0,9,3,5,,2,305,298.9,319.9,310.9,95,1,9
3,Kurt Warner*+,STL,QB,30,16,16,375,546,4830,36,22,28,60,2.14,0,0,0,0,,0,10,4,0,,1,301,293.2,322.2,315.2,91,2,10
4,Rich Gannon*,OAK,QB,36,16,16,361,549,3828,27,9,63,231,3.67,2,0,0,0,,0,13,7,2,1,,278,266.2,288.2,275.2,68,3,16
5,Priest Holmes*+,KAN,RB,28,16,16,0,0,0,0,0,327,1555,4.76,8,75,62,614,9.9,2,4,3,10,,,277,332.9,341.9,301.9,142,2,2
6,Steve McNair,TEN,QB,28,15,15,264,431,3350,21,12,75,414,5.52,5,0,0,0,,0,5,3,5,,3,271,265.4,286.4,277.4,61,4,17
7,Brett Favre*,GNB,QB,32,16,16,314,510,3921,32,15,38,56,1.47,1,0,0,0,,0,16,6,1,,1,268,256.4,280.4,271.4,58,5,20
8,Peyton Manning,IND,QB,25,16,16,343,547,4131,26,23,35,157,4.49,4,0,0,0,,0,7,3,4,,2,267,260.9,292.9,283.9,57,6,22
9,Donovan McNabb*,PHI,QB,25,16,16,285,493,3233,25,12,82,482,5.88,2,0,0,0,,0,8,3,2,,,266,259.5,280.5,271.5,55,7,24
10,Ahman Green*,GNB,RB,24,16,16,0,0,0,0,0,304,1387,4.56,9,82,62,594,9.58,2,5,4,11,,,264,318.1,328.1,287.1,129,3,3
11,Shaun Alexander,SEA,RB,24,16,12,0,0,0,0,0,309,1318,4.27,14,59,44,343,7.8,2,4,4,16,,,262,298.1,308.1,276.1,127,4,4
12,Aaron Brooks,NOR,QB,25,16,16,312,558,3832,26,22,80,358,4.48,1,1,0,0,,0,13,2,1,,1,257,253.1,283.1,275.1,47,8,29
13,Curtis Martin*,NYJ,RB,28,16,16,1,1,18,1,0,333,1513,4.54,10,63,53,320,6.04,0,2,2,10,,,248,297,305,270.5,113,5,6
14,Marvin Harrison*,IND,WR,29,16,16,0,0,0,0,0,1,3,3,0,164,109,1524,13.98,15,0,,15,,,243,351.7,354.7,297.2,114,1,5
15,Kordell Stewart*,PIT,QB,29,16,16,266,442,3109,14,11,96,537,5.59,5,0,0,0,,0,11,3,5,,,242,236.1,256.1,247.1,32,9,40
16,Terrell Owens*+,SFO,WR,28,16,16,0,0,0,0,0,4,21,5.25,0,155,93,1412,15.18,16,0,,16,,,239,332.3,335.3,285.8,110,2,7
17,Corey Dillon*,CIN,RB,27,16,16,0,1,0,0,1,340,1315,3.87,10,61,34,228,6.71,3,5,3,13,,,230,258.3,268.3,242.3,95,6,8
