Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
44,2014,Jared Abbrederis,WR,23,1,Wisconsin,College Stats,1-Jun,195,4.5,30.5,4,117,6.8,4.08,Green Bay Packers / 5th / 176th pick / 2014
45,2013,Robert Woods,WR,20,51,USC,College Stats,Jun-00,201,4.51,33.5,14,117,7.15,4.47,Buffalo Bills / 2nd / 41st pick / 2013
46,2013,Marquess Wilson,WR,20,6,Washington State,College Stats,3-Jun,194,4.51,34.5,7,122,6.65,4.33,Chicago Bears / 7th / 236th pick / 2013
47,2013,Terrance Williams,WR,23,31,Baylor,College Stats,2-Jun,208,4.52,32.5,11,119,7.01,4.32,Dallas Cowboys / 3rd / 74th pick / 2013
48,2013,Markus Wheaton,WR,22,13,Oregon State,College Stats,11-May,189,4.45,37,20,120,6.8,4.02,Pittsburgh Steelers / 3rd / 79th pick / 2013
49,2013,Kenbrell Thompkins,WR,24,7,Cincinnati,College Stats,1-Jun,193,4.54,33.5,8,121,6.88,4.21,
50,2013,Kenny Stills,WR,20,38,Oklahoma,College Stats,Jun-00,194,4.38,33.5,16,124,,4.35,New Orleans Saints / 5th / 144th pick / 2013
51,2013,Ryan Spadola,WR,22,0,Lehigh,,1-Jun,204,4.48,33.5,15,119,6.72,4.07,
52,2013,Rodney Smith,WR,22,0,Florida State,College Stats,4-Jun,225,4.51,34.5,,120,7.03,4.07,
53,2013,Ace Sanders,WR,21,3,South Carolina,College Stats,7-May,173,4.58,32,7,117,6.81,4.37,Jacksonville Jaguars / 4th / 101st pick / 2013
54,2013,Da'Rick Rogers,WR,21,2,Tennessee Tech,,2-Jun,217,4.5,39.5,10,132,6.71,4.06,
55,2013,Denard Robinson,WR,22,8,Michigan,College Stats,10-May,199,4.43,36.5,,123,7.09,4.22,Jacksonville Jaguars / 5th / 135th pick / 2013
56,2013,Quinton Patton,WR,22,7,Louisiana Tech,College Stats,Jun-00,204,4.53,33,8,118,6.91,4.01,San Francisco 49ers / 4th / 128th pick / 2013
57,2013,Cordarrelle Patterson,WR,21,29,Tennessee,College Stats,2-Jun,216,4.42,37,,128,,,Minnesota Vikings / 1st / 29th pick / 2013
58,2013,T.J. Moe,WR,22,,Missouri,College Stats,11-May,204,4.74,36,26,120,6.53,3.96,
59,2013,Alec Lemon,WR,21,,Syracuse,College Stats,1-Jun,202,4.59,32,7,112,7.04,4.29,
60,2013,Tavarres King,WR,22,2,Georgia,College Stats,Jun-00,189,4.47,36.5,11,123,6.91,4.33,Denver Broncos / 5th / 161st pick / 2013
61,2013,Darius Johnson,WR,22,2,SMU,College Stats,9-May,179,4.6,32,6,109,,4.53,
62,2013,Justin Hunter,WR,21,10,Tennessee,College Stats,4-Jun,196,4.44,39.5,,136,,4.33,Tennessee Titans / 2nd / 34th pick / 2013
63,2013,DeAndre Hopkins,WR,20,68,Clemson,College Stats,1-Jun,214,4.57,36,15,115,,4.5,Houston Texans / 1st / 27th pick / 2013
64,2013,Chris Harper,WR,23,0,Kansas State,College Stats,1-Jun,229,4.55,35.5,20,116,6.89,4.39,Seattle Seahawks / 4th / 123rd pick / 2013
65,2013,Cobi Hamilton,WR,22,2,Arkansas,College Stats,2-Jun,212,4.56,29.5,11,107,,4.31,Cincinnati Bengals / 6th / 197th pick / 2013
66,2013,Marquise Goodwin,WR,22,19,Texas,College Stats,9-May,183,4.27,,13,132,,,Buffalo Bills / 3rd / 78th pick / 2013
67,2013,Corey Fuller,WR,22,3,Virginia Tech,College Stats,2-Jun,204,4.43,31.5,12,120,,,Detroit Lions / 6th / 171st pick / 2013
68,2013,Aaron Dobson,WR,21,6,Marshall,College Stats,3-Jun,210,4.37,,,,,,New England Patriots / 2nd / 59th pick / 2013
69,2013,Marlon Brown,WR,21,7,Georgia,College Stats,4-Jun,213,4.63,,,,,,
70,2013,Josh Boyce,WR,21,1,TCU,College Stats,11-May,206,4.38,34,22,131,6.68,4.1,New England Patriots / 4th / 102nd pick / 2013
71,2013,Alan Bonner,WR,22,,Jacksonville State,,10-May,193,4.59,33,14,117,,4.15,Houston Texans / 6th / 195th pick / 2013
72,2013,Stedman Bailey,WR,22,7,West Virginia,College Stats,10-May,193,4.52,34.5,11,117,6.81,4.09,St. Louis Rams / 3rd / 92nd pick / 2013
73,2013,Tavon Austin,WR,22,28,West Virginia,College Stats,8-May,174,4.34,32,14,120,,4.01,St. Louis Rams / 1st / 8th pick / 2013
74,2013,Keenan Allen,WR,20,56,California,College Stats,2-Jun,206,4.58,,,,,,San Diego Chargers / 3rd / 76th pick / 2013
75,2012,Devon Wylie,WR,23,0,Fresno State,College Stats,9-May,187,4.36,39,17,123,,,Kansas City Chiefs / 4th / 107th pick / 2012
76,2012,Kendall Wright,WR,22,31,Baylor,College Stats,10-May,196,4.49,38.5,,121,6.93,4.18,Tennessee Titans / 1st / 20th pick / 2012
77,2012,Jarius Wright,WR,22,26,Arkansas,College Stats,10-May,182,4.39,38,11,120,6.93,4.03,Minnesota Vikings / 4th / 118th pick / 2012
