Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
43,2007,John Beck,QB,25,4,BYU,College Stats,2-Jun,215,4.75,29.5,,111,6.81,4.17,Miami Dolphins / 2nd / 40th pick / 2007
44,2006,Vince Young,QB,22,36,Texas,College Stats,5-Jun,229,4.48,,,,,,Tennessee Titans / 1st / 3rd pick / 2006
45,2006,Charlie Whitehurst,QB,23,7,Clemson,College Stats,5-Jun,223,4.75,33,,112,7,4.11,San Diego Chargers / 3rd / 81st pick / 2006
46,2006,Marcus Vick,QB,21,0,Virginia Tech,College Stats,Jun-00,200,4.47,36,,117,6.94,4.08,
47,2006,Reggie McNeal,QB,22,0,Texas A&M,College Stats,2-Jun,198,4.4,32,,121,6.96,4.25,Cincinnati Bengals / 6th / 193rd pick / 2006
48,2006,Ingle Martin,QB,23,0,Furman,,2-Jun,220,4.71,36,,111,7.13,4.17,Green Bay Packers / 5th / 148th pick / 2006
49,2006,Matt Leinart,QB,22,12,USC,College Stats,5-Jun,223,4.9,,,,,,Arizona Cardinals / 1st / 10th pick / 2006
50,2006,Tarvaris Jackson,QB,22,23,Arkansas,College Stats,2-Jun,226,4.69,31.5,22,107,7.4,4.38,Minnesota Vikings / 2nd / 64th pick / 2006
51,2006,Bruce Gradkowski,QB,23,8,Toledo,College Stats,1-Jun,217,4.59,34,,107,7.12,4.16,Tampa Bay Buccaneers / 6th / 194th pick / 2006
52,2006,Jay Cutler,QB,22,109,Vanderbilt,College Stats,3-Jun,226,4.77,,23,,7.1,4.26,Denver Broncos / 1st / 11th pick / 2006
53,2006,Brodie Croyle,QB,23,2,Alabama,College Stats,2-Jun,205,4.88,30.5,,104,7.34,4.25,Kansas City Chiefs / 3rd / 85th pick / 2006
54,2006,Kellen Clemens,QB,22,10,Oregon,College Stats,2-Jun,224,4.89,,,,,,New York Jets / 2nd / 49th pick / 2006
55,2006,Brett Basanez,QB,22,0,Northwestern,College Stats,1-Jun,220,4.76,34,,114,6.75,4.22,
56,2005,Andrew Walter,QB,22,1,Arizona State,College Stats,6-Jun,233,4.86,,,,,,Oakland Raiders / 3rd / 69th pick / 2005
57,2005,Alex Smith,QB,20,118,Utah,College Stats,4-Jun,217,4.71,32,,113,6.82,3.96,San Francisco 49ers / 1st / 1st pick / 2005
58,2005,Aaron Rodgers,QB,21,184,California,College Stats,2-Jun,223,4.71,34.5,,110,7.38,,Green Bay Packers / 1st / 24th pick / 2005
59,2005,Kyle Orton,QB,22,45,Purdue,College Stats,4-Jun,233,5.06,26.5,,,7.38,4.52,Chicago Bears / 4th / 106th pick / 2005
