Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2014,Damien Williams,RB,21,18,Oklahoma,College Stats,11-May,222,4.45,35.5,16,121,7.37,4.25,
2,2014,Andre Williams,RB,21,7,Boston Col.,College Stats,11-May,230,4.56,38,,129,7.27,4.06,New York Giants / 4th / 113th pick / 2014
3,2014,"James Wilder, Jr.",RB,21,,Florida State,College Stats,3-Jun,232,4.65,35,18,121,6.92,4.24,
4,2014,James White,RB,22,36,Wisconsin,College Stats,9-May,204,4.57,32,23,114,7.05,4.2,New England Patriots / 4th / 130th pick / 2014
5,2014,Terrance West,RB,23,12,Towson,,9-May,225,4.56,33.5,16,120,,,Cleveland Browns / 3rd / 94th pick / 2014
6,2014,De'Anthony Thomas,RB,21,7,Oregon,College Stats,9-May,174,4.39,32,8,124,,,Kansas City Chiefs / 4th / 124th pick / 2014
7,2014,Lorenzo Taliaferro,RB,22,3,Coastal Carolina,,Jun-00,229,4.58,33,18,118,6.88,4.22,Baltimore Ravens / 4th / 138th pick / 2014
8,2014,Jerome Smith,RB,22,0,Syracuse,College Stats,11-May,220,4.84,36,14,118,7.53,4.6,
9,2014,Charles Sims,RB,23,14,West Virginia,College Stats,Jun-00,214,4.48,37.5,17,126,7.16,4.3,Tampa Bay Buccaneers / 3rd / 69th pick / 2014
10,2014,Lache Seastrunk,RB,22,,Baylor,College Stats,9-May,201,4.51,41.5,15,134,,,Washington Redskins / 6th / 186th pick / 2014
11,2014,Bishop Sankey,RB,21,6,Washington,College Stats,9-May,209,4.49,35.5,26,126,6.75,4,Tennessee Titans / 2nd / 54th pick / 2014
12,2014,Silas Redd,RB,22,1,USC,College Stats,10-May,212,4.7,37,18,122,,,
13,2014,LaDarius Perkins,RB,23,,Mississippi State,College Stats,7-May,195,4.46,35.5,23,124,7.08,4.3,
14,2014,Jerick McKinnon,RB,21,22,Georgia Southern,,9-May,209,4.41,40.5,32,132,6.83,4.12,Minnesota Vikings / 3rd / 96th pick / 2014
15,2014,Tre Mason,RB,20,7,Auburn,College Stats,8-May,207,4.5,38.5,,126,,4.15,St. Louis Rams / 3rd / 75th pick / 2014
16,2014,Henry Josey,RB,22,,Missouri,College Stats,8-May,194,4.43,34.5,20,118,7.07,4.13,
17,2014,Storm Johnson,RB,21,0,Central Florida,College Stats,Jun-00,209,4.6,35.5,16,118,,,Jacksonville Jaguars / 7th / 222nd pick / 2014
18,2014,Carlos Hyde,RB,23,31,Ohio State,College Stats,Jun-00,230,4.62,34.5,19,114,,,San Francisco 49ers / 2nd / 57th pick / 2014
19,2014,Jeremy Hill,RB,21,22,LSU,College Stats,1-Jun,233,4.56,29,20,113,,,Cincinnati Bengals / 2nd / 55th pick / 2014
20,2014,Marion Grice,RB,22,0,Arizona State,College Stats,Jun-00,208,4.67,,,,,,San Diego Chargers / 6th / 201st pick / 2014
21,2014,Tyler Gaffney,RB,22,,Stanford,College Stats,11-May,220,4.49,36.5,,116,6.78,4.18,Carolina Panthers / 6th / 204th pick / 2014
22,2014,Devonta Freeman,RB,21,47,Florida State,College Stats,8-May,206,4.58,31.5,,118,7.11,4.26,Atlanta Falcons / 4th / 103rd pick / 2014
23,2014,David Fluellen,RB,22,0,Toledo,College Stats,11-May,224,4.72,36.5,,120,6.9,,
24,2014,Isaiah Crowell,RB,21,25,Arkansas,,11-May,224,4.57,38,23,117,,,
25,2014,Ka'Deem Carey,RB,21,3,Arizona,College Stats,9-May,207,4.69,32.5,19,115,7.08,4.38,Chicago Bears / 4th / 117th pick / 2014
26,2014,Alfred Blue,RB,22,19,LSU,College Stats,2-Jun,223,4.63,32,13,121,7.15,4.5,Houston Texans / 6th / 181st pick / 2014
27,2014,Kapri Bibbs,RB,21,3,Colorado State,College Stats,9-May,212,4.67,29,24,106,,,
28,2014,George Atkinson,RB,21,0,Notre Dame,,1-Jun,218,4.48,38,19,121,7.07,4.46,
29,2014,Antonio Andrews,RB,21,4,Western Kentucky,College Stats,10-May,225,4.82,29.5,20,106,7.24,4.49,
30,2013,Cierre Wood,RB,22,0,Notre Dame,College Stats,11-May,213,4.56,37.5,16,124,,,
31,2013,George Winn,RB,22,0,Cincinnati,College Stats,10-May,218,4.75,34.5,22,119,,,
32,2013,Kerwynn Williams,RB,21,6,Utah State,College Stats,8-May,195,4.48,35,17,118,7.15,4.15,Indianapolis Colts / 7th / 230th pick / 2013
33,2013,Spencer Ware,RB,21,18,LSU,College Stats,10-May,228,4.62,,,,,,Seattle Seahawks / 6th / 194th pick / 2013
34,2013,Matthew Tucker,RB,21,0,TCU,College Stats,Jun-00,221,4.55,35.5,17,118,,,
35,2013,Chris Thompson,RB,22,21,Florida State,College Stats,7-May,192,4.42,,21,,,,Washington Redskins / 5th / 154th pick / 2013
36,2013,Stepfan Taylor,RB,21,3,Stanford,College Stats,9-May,214,4.76,30,17,110,7.13,4.5,Arizona Cardinals / 5th / 140th pick / 2013
37,2013,Zac Stacy,RB,21,11,Vanderbilt,College Stats,8-May,216,4.55,33,27,122,6.7,4.17,St. Louis Rams / 5th / 160th pick / 2013
38,2013,Theo Riddick,RB,21,26,Notre Dame,College Stats,10-May,201,4.68,32,,118,,,Detroit Lions / 6th / 199th pick / 2013
39,2013,Joseph Randle,RB,21,7,Oklahoma State,College Stats,Jun-00,204,4.63,35,,123,,,Dallas Cowboys / 5th / 151st pick / 2013
40,2013,Christine Michael,RB,22,9,Texas A&M,College Stats,10-May,220,4.54,43,27,125,6.69,4.02,Seattle Seahawks / 2nd / 62nd pick / 2013
41,2013,Onterio McCalebb,RB,23,0,Auburn,College Stats,10-May,168,4.34,34,,121,,,
42,2013,Marcus Lattimore,RB,21,,South Carolina,College Stats,11-May,221,4.65,,,,,,San Francisco 49ers / 4th / 131st pick / 2013
43,2013,Eddie Lacy,RB,22,38,Alabama,College Stats,11-May,231,4.55,,,,,,Green Bay Packers / 2nd / 61st pick / 2013
44,2013,Mike James,RB,21,2,Miami (FL),College Stats,10-May,223,4.53,35,28,115,,4.62,Tampa Bay Buccaneers / 6th / 189th pick / 2013
45,2013,Ray Graham,RB,22,0,Pittsburgh,College Stats,9-May,199,4.8,32.5,18,112,7.17,4.21,
46,2013,Mike Gillislee,RB,22,10,Florida,College Stats,11-May,208,4.55,30.5,15,119,7.12,4.4,Miami Dolphins / 5th / 164th pick / 2013
47,2013,Johnathan Franklin,RB,23,1,UCLA,College Stats,10-May,205,4.49,31.5,18,115,6.89,4.31,Green Bay Packers / 4th / 125th pick / 2013
48,2013,Michael Ford,RB,22,0,LSU,College Stats,9-May,210,4.5,38.5,25,130,6.87,4.25,
49,2013,Andre Ellington,RB,24,19,Clemson,College Stats,9-May,199,4.61,34,,122,,,Arizona Cardinals / 6th / 187th pick / 2013
50,2013,Knile Davis,RB,21,10,Arkansas,College Stats,11-May,227,4.37,33.5,31,121,6.96,4.38,Kansas City Chiefs / 3rd / 96th pick / 2013
51,2013,Rex Burkhead,RB,22,16,Nebraska,College Stats,10-May,214,4.73,39,21,125,6.85,4.09,Cincinnati Bengals / 6th / 190th pick / 2013
52,2013,Giovani Bernard,RB,21,42,North Carolina,College Stats,8-May,202,4.53,33.5,19,122,6.91,4.12,Cincinnati Bengals / 2nd / 37th pick / 2013
53,2013,Le'Veon Bell,RB,21,65,Michigan State,College Stats,1-Jun,230,4.6,31.5,24,118,6.75,4.24,Pittsburgh Steelers / 2nd / 48th pick / 2013
54,2013,Kenjon Barner,RB,22,4,Oregon,College Stats,9-May,196,4.52,35.5,20,122,6.87,4.2,Carolina Panthers / 6th / 182nd pick / 2013
55,2013,Montee Ball,RB,22,8,Wisconsin,College Stats,10-May,214,4.66,32,15,118,6.88,4.4,Denver Broncos / 2nd / 58th pick / 2013
56,2013,C.J. Anderson,RB,22,28,California,College Stats,8-May,224,4.6,32,17,119,7.15,4.12,
57,2012,David Wilson,RB,20,5,Virginia Tech,College Stats,10-May,206,4.38,41,,132,7.09,4.12,New York Giants / 1st / 32nd pick / 2012
58,2012,Fozzy Whittaker,RB,23,8,Texas,College Stats,9-May,193,4.49,,20,,,,
59,2012,Robert Turbin,RB,22,17,Utah State,College Stats,10-May,222,4.42,36,28,122,7.16,4.31,Seattle Seahawks / 4th / 106th pick / 2012
60,2012,Trent Richardson,RB,21,18,Alabama,College Stats,9-May,228,4.48,,,,,,Cleveland Browns / 1st / 3rd pick / 2012
61,2012,Chris Rainey,RB,24,1,Florida,College Stats,8-May,180,4.36,36.5,16,120,6.5,3.93,Pittsburgh Steelers / 5th / 159th pick / 2012
62,2012,Tauren Poole,RB,22,0,Tennessee,College Stats,10-May,205,4.48,34,24,118,7.36,4.19,
63,2012,Chris Polk,RB,22,6,Washington,College Stats,10-May,215,4.52,31.5,,111,7.13,4.21,
64,2012,Bernard Pierce,RB,20,10,Temple,College Stats,Jun-00,218,4.45,36.5,17,123,7.07,4.28,Baltimore Ravens / 3rd / 84th pick / 2012
65,2012,Isaiah Pead,RB,22,1,Cincinnati,College Stats,10-May,197,4.39,33,,116,6.95,4.32,St. Louis Rams / 2nd / 50th pick / 2012
66,2012,Alfred Morris,RB,23,39,Florida Atlantic,College Stats,10-May,219,4.63,35.5,16,117,7.01,4.19,Washington Redskins / 6th / 173rd pick / 2012
