Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
38,Torry Holt*,STL,WR,30,16,16,0,0,0,0,0,0,0,,0,179,93,1188,12.77,10,2,1,10,,,179,269.8,273.8,223.3,61,6,19
39,Ahman Green,GNB,RB,29,14,14,0,0,0,0,0,266,1059,3.98,5,63,46,373,8.11,1,4,2,6,,,179,221.2,229.2,198.2,21,15,50
40,Jamal Lewis,BAL,RB,27,16,16,0,0,0,0,0,314,1132,3.61,9,26,18,115,6.39,0,4,2,9,,,179,192.7,200.7,183.7,20,16,53
41,Lee Evans,BUF,WR,25,16,15,0,1,0,0,0,0,0,,0,137,82,1292,15.76,8,1,1,8,,,177,257.2,261.2,216.2,60,7,20
42,Reggie Bush,NOR,WR,21,16,8,0,1,0,0,1,155,565,3.65,6,121,88,742,8.43,2,2,2,9,,,177,266.7,275.7,223.7,59,8,22
43,Steve Smith*,CAR,WR,27,14,14,0,0,0,0,0,8,61,7.63,1,139,83,1166,14.05,8,2,,9,,,177,259.7,262.7,218.2,59,9,23
44,Javon Walker,DEN,WR,28,16,16,0,0,0,0,0,9,123,13.67,1,126,69,1084,15.71,8,0,,9,,,175,243.7,249.7,209.2,57,10,24
45,Fred Taylor,JAX,RB,30,15,15,0,0,0,0,0,231,1146,4.96,5,28,23,242,10.52,1,3,1,6,,,175,195.8,202.8,184.3,16,17,58
46,Corey Dillon,NWE,RB,32,16,13,0,0,0,0,0,199,812,4.08,13,16,15,147,9.8,0,2,2,13,,,174,184.9,192.9,177.4,16,18,59
47,Edgerrin James,ARI,RB,28,16,16,0,0,0,0,0,337,1159,3.44,6,61,38,217,5.71,0,3,3,6,,,174,205.6,214.6,186.6,15,19,60
48,Alex Smith,SFO,QB,22,16,16,257,442,2890,16,16,44,147,3.34,2,0,0,0,,0,10,5,2,,,174,164.3,191.3,180.3,,19,
49,Roy Williams*,DET,WR,25,16,16,0,0,0,0,0,2,2,1,0,151,82,1310,15.98,7,2,2,7,,,173,251.2,256.2,210.2,56,11,26
50,Travis Henry,TEN,RB,28,14,13,0,0,0,0,0,270,1211,4.49,7,25,18,78,4.33,0,3,1,7,1,,173,188.9,192.9,179.9,15,20,61
51,Thomas Jones,CHI,RB,28,16,16,1,1,-4,0,0,296,1210,4.09,6,47,36,154,4.28,0,1,1,6,,,172,206.2,213.2,188.2,14,21,62
52,Kevin Jones,DET,RB,24,12,12,0,0,0,0,0,181,689,3.81,6,78,61,520,8.52,2,5,5,8,,,169,219.9,230.9,189.4,11,22,67
53,David Carr,HOU,QB,27,16,16,302,442,2767,11,12,53,195,3.68,2,0,0,0,,0,16,6,2,,1,164,152.2,176.2,164.2,,20,
54,T.J. Houshmandzadeh,CIN,WR,29,14,13,0,0,0,0,0,3,6,2,0,132,90,1081,12.01,9,0,,9,,,163,252.7,255.7,207.7,45,12,27
55,Warrick Dunn,ATL,RB,31,16,16,0,0,0,0,0,286,1140,3.99,4,28,22,170,7.73,1,1,,5,,,161,183,189,172,3,23,72
56,Plaxico Burress,NYG,WR,29,15,15,0,0,0,0,0,0,0,,0,116,63,988,15.68,10,2,1,10,,,159,219.8,223.8,188.3,41,13,30
57,Jake Delhomme,CAR,QB,31,13,13,263,431,2805,17,11,18,12,0.67,0,0,0,0,,0,6,4,0,,,159,151.4,169.4,162.4,,21,
58,Ronnie Brown,MIA,RB,25,13,12,0,1,0,0,0,241,1008,4.18,5,38,33,276,8.36,0,4,2,5,,,158,187.4,195.4,170.9,,24,
59,Darrell Jackson,SEA,WR,28,13,13,0,0,0,0,0,0,0,,0,112,63,956,15.17,10,1,,10,,,156,218.6,221.6,187.1,38,14,32
60,Matt Hasselbeck,SEA,QB,31,12,12,210,371,2442,18,15,18,110,6.11,0,0,0,0,,0,3,2,0,,1,153,148.7,171.7,163.7,,22,
61,Marques Colston,NOR,WR,23,14,12,0,0,0,0,0,0,0,,0,115,70,1038,14.83,8,0,,8,,,152,221.8,224.8,186.8,34,15,34
62,Willis McGahee,BUF,RB,25,14,14,0,0,0,0,0,259,990,3.82,6,28,18,156,8.67,0,4,2,6,,,151,164.6,172.6,155.6,,25,
63,Joey Galloway,TAM,WR,35,16,14,0,0,0,0,0,2,9,4.5,0,143,62,1057,17.05,7,0,,7,,,149,210.6,213.6,179.6,31,16,37
64,Laveranues Coles,NYJ,WR,29,16,16,0,0,0,0,0,2,14,7,0,152,91,1098,12.07,6,1,,6,,,147,238.2,241.2,192.7,30,17,40
65,Anquan Boldin*,ARI,WR,26,16,16,0,0,0,0,0,5,28,5.6,0,152,83,1203,14.49,4,1,,4,,,147,230.1,233.1,188.6,30,18,41
66,Julius Jones,DAL,RB,25,16,16,0,0,0,0,0,267,1084,4.06,4,15,9,142,15.78,0,1,1,4,,,147,153.6,160.6,149.1,,26,
67,Antonio Gates*+,SDG,TE,26,16,16,0,0,0,0,0,0,0,,0,120,71,924,13.01,9,0,,9,,,146,217.4,220.4,181.9,65,1,16
68,Andre Johnson*,HOU,WR,25,16,16,0,0,0,0,0,3,14,4.67,0,163,103,1147,11.14,5,1,,5,,,146,249.1,252.1,197.6,29,19,42
69,Mike Furrey,DET,WR,29,16,14,0,0,0,0,0,0,0,,0,146,98,1086,11.08,6,1,1,6,,,145,240.6,244.6,191.6,27,20,45
70,Charlie Frye,CLE,QB,25,13,13,252,393,2454,10,17,47,215,4.57,3,0,0,0,,0,8,7,3,,,144,129.7,159.7,146.7,,23,
71,Terry Glenn,DAL,WR,32,15,14,0,0,0,0,0,3,11,3.67,0,111,70,1047,14.96,6,0,,6,,,142,211.8,214.8,176.8,24,21,46
